seed,comparison,baseline_model,current_model,route_count_change_pct,total_cost_change_pct,total_distance_change_pct,total_travel_time_change_pct,total_waiting_time_change_pct,charging_visits_change_pct,total_charging_time_change_pct,total_energy_change_pct
42,time_window_effect,vrp_spd,vrp_tw_spd,275.0,209.4597,197.727,110.3691,-80.9052,0.0,0.0,197.727
42,battery_charging_effect,vrp_tw_spd,evrp_tw_spd,2.2222,-0.3417,-0.9198,7.8481,-23.9407,0.0,0.0,-0.9198
43,time_window_effect,vrp_spd,vrp_tw_spd,275.0,206.9761,194.8597,113.6549,-77.9974,0.0,0.0,194.8597
43,battery_charging_effect,vrp_tw_spd,evrp_tw_spd,2.2222,-0.3676,-0.9543,5.5803,-12.7665,0.0,0.0,-0.9543
44,time_window_effect,vrp_spd,vrp_tw_spd,309.0909,218.4739,203.5625,124.3741,-65.6357,0.0,0.0,203.5625
44,battery_charging_effect,vrp_tw_spd,evrp_tw_spd,2.2222,-2.4891,-3.5338,3.1303,-5.0,0.0,0.0,-3.5338
45,time_window_effect,vrp_spd,vrp_tw_spd,309.0909,213.5659,197.9059,116.6951,-81.1047,0.0,0.0,197.9059
45,battery_charging_effect,vrp_tw_spd,evrp_tw_spd,0.0,-1.2808,-1.5692,3.482,-46.9231,0.0,0.0,-1.5692
46,time_window_effect,vrp_spd,vrp_tw_spd,309.0909,210.3494,194.52,108.7919,-74.3158,0.0,0.0,194.52
46,battery_charging_effect,vrp_tw_spd,evrp_tw_spd,2.2222,-1.0777,-1.8125,4.2576,17.7705,0.0,0.0,-1.8125
