seed,time_limit,model,route_count,total_cost,total_distance,distance_check_difference,total_travel_time,total_waiting_time,total_charging_time,station_passes,charging_visits,total_energy,minimum_remaining_range,minimum_battery_energy,customer_coverage,customers_served_once,duplicate_customer_visits,route_structure_feasible,capacity_feasible,time_windows_feasible,battery_feasible,solver_model_feasible,full_model_feasible,solver_seconds,solution_file,wall_seconds
42,1800,vrp_spd,11,22625.4,1380386.0,0.2857,2849.0,584.0,0.0,7,0,345.0965,-69015.0,-17.25375,1.0,True,0,True,True,,,True,,1805.35,results\runs\time_1800\seed_42\vrp_spd\jd200_1_vrp_spd_timelimit=1800_subproblem=2.txt,1807.537
42,1800,vrp_tw_spd,44,72134.58,4209613.0,0.1429,6163.0,100.0,0.0,7,0,1052.40325,-21892.0,-5.473,1.0,True,0,True,True,True,,True,,869.89,results\runs\time_1800\seed_42\vrp_tw_spd\jd200_1_vrp_tw_spd_timelimit=1800_subproblem=2.txt,872.016
42,1800,evrp_tw_spd,44,70113.56,4065254.0,-0.2857,6452.0,128.0,12.7608,24,9,1016.3135,0.0,0.0,1.0,True,0,True,True,True,True,True,True,1802.33,results\runs\time_1800\seed_42\evrp_tw_spd\jd200_1_evrp_tw_spd_timelimit=1800_subproblem=2.txt,1804.398
43,1800,vrp_spd,11,22628.76,1380626.0,0.2857,2854.0,733.0,0.0,5,0,345.1565,-58037.0,-14.50925,1.0,True,0,True,True,,,True,,1806.04,results\runs\time_1800\seed_43\vrp_spd\jd200_1_vrp_spd_timelimit=1800_subproblem=2.txt,1808.109
43,1800,vrp_tw_spd,45,73094.15,4256725.0,0.0,6290.0,167.0,0.0,9,0,1064.18125,-68632.0,-17.158,1.0,True,0,True,True,True,,True,,546.0,results\runs\time_1800\seed_43\vrp_tw_spd\jd200_1_vrp_tw_spd_timelimit=1800_subproblem=2.txt,548.218
43,1800,evrp_tw_spd,44,71561.09,4168649.0,-0.2857,6646.0,102.68,19.1825,30,10,1042.16225,0.0,0.0,1.0,True,0,True,True,True,True,True,True,1189.07,results\runs\time_1800\seed_43\evrp_tw_spd\jd200_1_evrp_tw_spd_timelimit=1800_subproblem=2.txt,1191.17
44,1800,vrp_spd,11,23001.61,1407258.0,0.1429,2825.0,612.0,0.0,9,0,351.8145,-130233.0,-32.55825,1.0,True,0,True,True,,,True,,1540.36,results\runs\time_1800\seed_44\vrp_spd\jd200_1_vrp_spd_timelimit=1800_subproblem=2.txt,1542.591
44,1800,vrp_tw_spd,44,72277.63,4219831.0,0.2857,6224.0,98.0,0.0,11,0,1054.95775,-36557.0,-9.13925,1.0,True,0,True,True,True,,True,,1417.25,results\runs\time_1800\seed_44\vrp_tw_spd\jd200_1_vrp_tw_spd_timelimit=1800_subproblem=2.txt,1419.479
44,1800,evrp_tw_spd,45,70702.14,4085867.0,-0.1429,6496.0,125.0,9.3535,23,7,1021.46675,0.0,0.0,1.0,True,0,True,True,True,True,True,True,1801.26,results\runs\time_1800\seed_44\evrp_tw_spd\jd200_1_evrp_tw_spd_timelimit=1800_subproblem=2.txt,1803.333
45,1800,vrp_spd,11,22878.41,1398458.0,0.1429,2816.0,555.0,0.0,6,0,349.6145,-93926.0,-23.4815,1.0,True,0,True,True,,,True,,1494.08,results\runs\time_1800\seed_45\vrp_spd\jd200_1_vrp_spd_timelimit=1800_subproblem=2.txt,1496.115
45,1800,vrp_tw_spd,45,73451.92,4282280.0,0.0,6331.0,128.0,0.0,9,0,1070.57,-51463.0,-12.86575,1.0,True,0,True,True,True,,True,,826.9,results\runs\time_1800\seed_45\vrp_tw_spd\jd200_1_vrp_tw_spd_timelimit=1800_subproblem=2.txt,829.264
45,1800,evrp_tw_spd,44,70981.98,4127284.0,-0.2857,6569.0,99.0,11.9155,28,8,1031.821,0.0,0.0,1.0,True,0,True,True,True,True,True,True,1807.54,results\runs\time_1800\seed_45\evrp_tw_spd\jd200_1_evrp_tw_spd_timelimit=1800_subproblem=2.txt,1809.699
46,1800,vrp_spd,11,23147.42,1417673.0,0.1429,2882.0,554.0,0.0,5,0,354.41825,-70646.0,-17.6615,1.0,True,0,True,True,,,True,,1808.86,results\runs\time_1800\seed_46\vrp_spd\jd200_1_vrp_spd_timelimit=1800_subproblem=2.txt,1811.052
46,1800,vrp_tw_spd,45,72786.37,4234741.0,0.2857,6248.0,125.0,0.0,9,0,1058.68525,-23977.0,-5.99425,1.0,True,0,True,True,True,,True,,1617.81,results\runs\time_1800\seed_46\vrp_tw_spd\jd200_1_vrp_tw_spd_timelimit=1800_subproblem=2.txt,1620.146
46,1800,evrp_tw_spd,44,70295.26,4078233.0,0.1429,6494.0,105.0,14.346,23,10,1019.55825,0.0,0.0,1.0,True,0,True,True,True,True,True,True,1800.47,results\runs\time_1800\seed_46\evrp_tw_spd\jd200_1_evrp_tw_spd_timelimit=1800_subproblem=2.txt,1802.615
