seed,comparison,baseline_model,current_model,route_count_change_pct,total_cost_change_pct,total_distance_change_pct,total_travel_time_change_pct,total_waiting_time_change_pct,charging_visits_change_pct,total_charging_time_change_pct,total_energy_change_pct
42,time_window_effect,vrp_spd,vrp_tw_spd,300.0,218.8212,204.9591,116.3215,-82.8767,0.0,0.0,204.9591
42,battery_charging_effect,vrp_tw_spd,evrp_tw_spd,0.0,-2.8017,-3.4293,4.6893,28.0,0.0,0.0,-3.4293
43,time_window_effect,vrp_spd,vrp_tw_spd,309.0909,223.0144,208.3185,120.3924,-77.2169,0.0,0.0,208.3185
43,battery_charging_effect,vrp_tw_spd,evrp_tw_spd,-2.2222,-2.0974,-2.0691,5.6598,-38.515,0.0,0.0,-2.0691
44,time_window_effect,vrp_spd,vrp_tw_spd,300.0,214.2286,199.8619,120.3186,-83.9869,0.0,0.0,199.8619
44,battery_charging_effect,vrp_tw_spd,evrp_tw_spd,2.2727,-2.1798,-3.1746,4.3702,27.551,0.0,0.0,-3.1746
45,time_window_effect,vrp_spd,vrp_tw_spd,309.0909,221.0534,206.2144,124.8224,-76.9369,0.0,0.0,206.2144
45,battery_charging_effect,vrp_tw_spd,evrp_tw_spd,-2.2222,-3.3627,-3.6195,3.7593,-22.6562,0.0,0.0,-3.6195
46,time_window_effect,vrp_spd,vrp_tw_spd,309.0909,214.447,198.7107,116.7939,-77.4368,0.0,0.0,198.7107
46,battery_charging_effect,vrp_tw_spd,evrp_tw_spd,-2.2222,-3.4225,-3.6958,3.9373,-16.0,0.0,0.0,-3.6958
47,time_window_effect,vrp_spd,vrp_tw_spd,300.0,214.9084,200.6421,116.0912,-85.6061,0.0,0.0,200.6421
47,battery_charging_effect,vrp_tw_spd,evrp_tw_spd,0.0,-2.5848,-3.1613,3.5954,3.5088,0.0,0.0,-3.1613
48,time_window_effect,vrp_spd,vrp_tw_spd,300.0,219.1471,205.5002,126.5805,-83.7838,0.0,0.0,205.5002
48,battery_charging_effect,vrp_tw_spd,evrp_tw_spd,0.0,-2.904,-3.5458,2.2353,-7.2917,0.0,0.0,-3.5458
49,time_window_effect,vrp_spd,vrp_tw_spd,309.0909,211.9363,196.0013,115.989,-72.1154,0.0,0.0,196.0013
49,battery_charging_effect,vrp_tw_spd,evrp_tw_spd,-2.2222,-2.6328,-2.7259,3.829,-18.7192,0.0,0.0,-2.7259
50,time_window_effect,vrp_spd,vrp_tw_spd,300.0,214.5285,200.1381,118.9533,-88.4615,0.0,0.0,200.1381
50,battery_charging_effect,vrp_tw_spd,evrp_tw_spd,2.2727,-0.9955,-1.7288,5.281,6.9444,0.0,0.0,-1.7288
51,time_window_effect,vrp_spd,vrp_tw_spd,318.1818,209.6549,192.225,109.6358,-64.5963,0.0,0.0,192.225
51,battery_charging_effect,vrp_tw_spd,evrp_tw_spd,-2.1739,-3.6089,-3.9387,4.2331,-70.1754,0.0,0.0,-3.9387
