seed,time_limit,model,route_count,total_cost,total_distance,distance_check_difference,total_travel_time,total_waiting_time,total_charging_time,station_passes,charging_visits,total_energy,minimum_remaining_range,minimum_battery_energy,customer_coverage,customers_served_once,duplicate_customer_visits,route_structure_feasible,capacity_feasible,time_windows_feasible,battery_feasible,solver_model_feasible,full_model_feasible,solver_seconds,solution_file,wall_seconds
42,300,vrp_spd,12,23710.17,1436441.0,0.2857,2980.0,707.0,0.0,7,0,359.11025,-80694.0,-20.1735,1.0,True,0,True,True,,,True,,310.23,results\runs\time_300\seed_42\vrp_spd\jd200_1_vrp_spd_timelimit=300_subproblem=2.txt,312.066
42,300,vrp_tw_spd,45,73373.42,4276673.0,0.1429,6269.0,135.0,0.0,11,0,1069.16825,-26842.0,-6.7105,1.0,True,0,True,True,True,,True,,301.13,results\runs\time_300\seed_42\vrp_tw_spd\jd200_1_vrp_tw_spd_timelimit=300_subproblem=2.txt,302.766
42,300,evrp_tw_spd,46,73122.7,4237336.0,0.2857,6761.0,102.68,22.4325,26,7,1059.334,0.0,0.0,1.0,True,0,True,True,True,True,True,True,301.93,results\runs\time_300\seed_42\evrp_tw_spd\jd200_1_evrp_tw_spd_timelimit=300_subproblem=2.txt,303.79
43,300,vrp_spd,12,23811.02,1443644.0,-0.2857,2944.0,759.0,0.0,5,0,360.911,-58037.0,-14.50925,1.0,True,0,True,True,,,True,,315.52,results\runs\time_300\seed_43\vrp_spd\jd200_1_vrp_spd_timelimit=300_subproblem=2.txt,317.311
43,300,vrp_tw_spd,45,73094.15,4256725.0,0.0,6290.0,167.0,0.0,9,0,1064.18125,-68632.0,-17.158,1.0,True,0,True,True,True,,True,,300.27,results\runs\time_300\seed_43\vrp_tw_spd\jd200_1_vrp_tw_spd_timelimit=300_subproblem=2.txt,302.182
43,300,evrp_tw_spd,46,72825.46,4216104.0,-0.2857,6641.0,145.68,29.5495,26,10,1054.026,0.0,0.0,1.0,True,0,True,True,True,True,True,True,300.07,results\runs\time_300\seed_43\evrp_tw_spd\jd200_1_evrp_tw_spd_timelimit=300_subproblem=2.txt,301.84
44,300,vrp_spd,11,23354.24,1432446.0,0.2857,2876.0,582.0,0.0,7,0,358.1115,-131513.0,-32.87825,1.0,True,0,True,True,,,True,,300.67,results\runs\time_300\seed_44\vrp_spd\jd200_1_vrp_spd_timelimit=300_subproblem=2.txt,302.466
44,300,vrp_tw_spd,45,74377.17,4348369.0,-0.2857,6453.0,200.0,0.0,11,0,1087.09225,-33238.0,-8.3095,1.0,True,0,True,True,True,,True,,300.88,results\runs\time_300\seed_44\vrp_tw_spd\jd200_1_vrp_tw_spd_timelimit=300_subproblem=2.txt,302.642
44,300,evrp_tw_spd,46,72525.88,4194706.0,0.2857,6655.0,190.0,9.297,23,7,1048.6765,0.0,0.0,1.0,True,0,True,True,True,True,True,True,303.46,results\runs\time_300\seed_44\evrp_tw_spd\jd200_1_evrp_tw_spd_timelimit=300_subproblem=2.txt,305.327
45,300,vrp_spd,11,23429.8,1437843.0,0.1429,2929.0,688.0,0.0,5,0,359.46075,-103149.0,-25.78725,1.0,True,0,True,True,,,True,,304.92,results\runs\time_300\seed_45\vrp_spd\jd200_1_vrp_spd_timelimit=300_subproblem=2.txt,306.84
45,300,vrp_tw_spd,45,73467.87,4283419.0,-0.2857,6347.0,130.0,0.0,9,0,1070.85475,-51463.0,-12.86575,1.0,True,0,True,True,True,,True,,301.7,results\runs\time_300\seed_45\vrp_tw_spd\jd200_1_vrp_tw_spd_timelimit=300_subproblem=2.txt,303.464
45,300,evrp_tw_spd,45,72526.86,4216204.0,-0.2857,6568.0,69.0,31.535,21,12,1054.051,0.0,0.0,1.0,True,0,True,True,True,True,True,True,311.34,results\runs\time_300\seed_45\evrp_tw_spd\jd200_1_evrp_tw_spd_timelimit=300_subproblem=2.txt,313.133
46,300,vrp_spd,11,23885.01,1470358.0,0.1429,3071.0,475.0,0.0,5,0,367.5895,-70646.0,-17.6615,1.0,True,0,True,True,,,True,,317.3,results\runs\time_300\seed_46\vrp_spd\jd200_1_vrp_spd_timelimit=300_subproblem=2.txt,319.122
46,300,vrp_tw_spd,45,74126.99,4330499.0,-0.2857,6412.0,122.0,0.0,9,0,1082.62475,-20505.0,-5.12625,1.0,True,0,True,True,True,,True,,303.32,results\runs\time_300\seed_46\vrp_tw_spd\jd200_1_vrp_tw_spd_timelimit=300_subproblem=2.txt,305.099
46,300,evrp_tw_spd,46,73328.1,4252007.0,-0.1429,6685.0,143.68,23.9305,25,10,1063.00175,0.0,0.0,1.0,True,0,True,True,True,True,True,True,300.76,results\runs\time_300\seed_46\evrp_tw_spd\jd200_1_evrp_tw_spd_timelimit=300_subproblem=2.txt,302.555
