vehicle_type_code,vehicle_type_name,energy_observation,physical_legs,vehicles,eligible_legs,total_distance_km,median_distance_km,median_duration_hours,total_weight_kg,total_volume_cm3
4,4.2米厢式货车,未标明,6553,2922,6553,314449.15,33.44,1.383888888888889,24952.26,205466287.08
10,9.6米厢式货车,未标明,2964,1318,2964,491436.03,73.0,1.6918055555555556,15408.87,125218169.3
9,7.6米厢式货车,未标明,723,370,723,54519.02,39.79,1.2977777777777777,1386.82,11706963.46
257,牵引车头,未标明,250,191,250,213102.87,776.25,15.444861111111111,625.508,5360217.71
39,17.5米厢式货车,未标明,130,80,130,102449.71,684.075,10.62263888888889,227.045,1756420.2
13,16.5米重型集装箱半挂车,未标明,62,46,62,53557.67,741.0899999999999,13.963888888888889,132.65,1033716.95
3,依维柯,未标明,56,32,56,2840.98,60.6,1.4466666666666668,201.09,1503528.93
48,16.5米厢式货车,未标明,37,34,37,32276.99,827.11,14.170555555555556,91.81,852404.04
118,4.2米厢式货车(共营),未标明,20,8,20,901.4399999999999,42.0,1.3958333333333333,36.44,348553.0
37,12.5米厢式货车,未标明,18,14,18,4592.4,224.92000000000002,3.4504166666666665,49.46,359356.25
8,7.2米厢式货车,未标明,16,13,16,1010.4,62.04,1.55375,194.82,962493.25
12,14.5米重型集装箱半挂车,未标明,16,11,16,12791.75,659.9300000000001,12.45861111111111,22.88,162699.34
11,12.5米重型集装箱半挂车,未标明,15,12,15,6474.63,430.13,6.85,30.07,267752.0
79,17.5米重型集装箱车(150m³),未标明,14,8,14,13649.14,776.9449999999999,14.378055555555555,34.089999999999996,275806.41000000003
84,(新能源)4.2米厢式货车,新能源,12,11,12,447.75,31.995,1.3673611111111112,20.41,131076.78
1,小型面包车,未标明,11,9,11,403.29,34.0,1.4641666666666666,16.67,167764.0
2,金杯车,未标明,10,6,10,1458.48,28.0,1.1259722222222224,39.88,325161.0
149,17.5米重型集装箱车(180m³),未标明,9,8,9,13881.26,1461.11,26.80611111111111,10.69,87650.36
38,14.5米厢式货车,未标明,6,6,6,5924.610000000001,913.1,14.61,23.94,118225.0
22,6.8米厢式货车,未标明,6,5,6,501.49,19.245,0.7477777777777778,7.18,31688.0
17,9.6米冷藏厢式车,未标明,4,4,4,2404.97,599.175,8.383888888888889,3.5,18066.0
64,13米高栏,未标明,3,3,3,1036.73,351.92,35.20027777777778,3.0,17044.0
55,13.5米厢式货车,未标明,3,1,3,288.41999999999996,100.1,1.5630555555555556,5.5600000000000005,39722.0
28,15米冷藏厢式货车,未标明,2,2,2,2966.9300000000003,1483.4650000000001,34.90097222222222,2.56,19790.0
29,13.5米重型集装箱半挂车,未标明,2,2,2,2662.1400000000003,1331.0700000000002,20.17763888888889,10.059999999999999,110930.0
56,4.2米高栏,未标明,2,2,2,18.05,9.025,0.26763888888888887,2.0,8822.0
77,17.5米板车,未标明,2,2,2,1350.39,675.195,12.22625,1.32,8044.0
93,17.5米重型集装箱半挂车(共建),未标明,2,2,2,493.11,246.555,3.7215277777777778,1.76,13499.0
113,9.6米飞翼厢式货车,未标明,2,2,2,440.77,220.385,3.184861111111111,4.05,26447.0
116,9.6米厢式货车(共营),未标明,2,2,2,257.89,128.945,2.943888888888889,2.02,14100.0
5,5.2米厢式货车,未标明,2,1,2,34.0,17.0,0.9252777777777776,5.76,70070.0
23,5.8米厢式货车,未标明,2,1,2,22.59,11.295,0.4801388888888889,4.87,79179.0
105,9.6米厢式货车尾板车,未标明,2,1,2,149.46,74.73,1.5627777777777778,2.2,15810.0
112,4.2米厢式货车尾板车,未标明,2,1,2,18.54,9.27,0.5152777777777777,1.3900000000000001,8044.0
115,7.6米厢式货车(共营),未标明,2,1,2,70.44,35.22,1.024861111111111,2.2,13247.0
14,4.2米冷藏厢式车,未标明,1,1,1,45.09,45.09,1.5619444444444444,1.0,4022.0
26,17.5米冷藏厢式货车,未标明,1,1,1,860.0,860.0,13.061666666666667,0.3,4022.0
40,13米厢式货车,未标明,1,1,1,182.0,182.0,6.336666666666667,0.62,4022.0
46,16米厢式货车,未标明,1,1,1,1188.06,1188.06,22.511666666666667,1.73,17269.0
58,6.8米高栏,未标明,1,1,1,50.49,50.49,1.0788888888888888,2.36,16965.0
75,13米板车,未标明,1,1,1,1447.03,1447.03,22.215833333333332,1.3,8044.0
92,9.6米厢式货车(共建),未标明,1,1,1,116.0,116.0,1.8138888888888889,1.0,4875.0
103,21米重型集装箱半挂车,未标明,1,1,1,1179.32,1179.32,33.044444444444444,7.4,43329.0
122,9.6m冷藏箱式尾板车,未标明,1,1,1,57.0,57.0,1.1755555555555555,1.5,8044.0
154,16.5米重型集装箱半挂车（130m³）,未标明,1,1,1,1445.28,1445.28,20.16027777777778,1.0,6000.0
155,16.5米重型集装箱半挂车（130m³固定班次）,未标明,1,1,1,741.29,741.29,11.005833333333333,1.44,12066.0
242,13.75米板车,未标明,1,1,1,989.08,989.08,14.938888888888888,2.06,17590.08
256,9.6米重型自卸货车,未标明,1,1,1,250.0,250.0,3.5275,1.0,4022.0
