instance_id,task_count,independent_vehicle_count,vrp_vehicle_count,vehicle_reduction,vehicle_reduction_rate,loaded_distance_km,vrp_internal_deadhead_distance_km,vrp_total_observed_scope_distance_km,average_tasks_per_vrp_vehicle,task_service_rate,time_overlap_violations,duplicate_task_assignments,missing_task_assignments,missing_selected_link_paths
instance_00004,14,14,10,4,0.2857142857142857,1365.8,49.4,1415.2,1.4,1.0,0,0,0,0
instance_00005,16,16,12,4,0.25,2137.03,65.4,2202.4300000000003,1.3333333333333333,1.0,0,0,0,0
instance_00006,21,21,15,6,0.2857142857142857,4750.679999999999,81.4,4832.079999999999,1.4,1.0,0,0,0,0
instance_00010,124,124,105,19,0.1532258064516129,17190.95,38.1,17229.05,1.180952380952381,1.0,0,0,0,0
instance_00012,91,91,75,16,0.17582417582417584,13339.55,224.52,13564.07,1.2133333333333334,1.0,0,0,0,0
instance_00014,15,15,10,5,0.3333333333333333,1267.54,169.4,1436.94,1.5,1.0,0,0,0,0
instance_00016,23,23,16,7,0.30434782608695654,5070.419999999999,188.93,5259.349999999999,1.4375,1.0,0,0,0,0
instance_00017,22,22,15,7,0.3181818181818182,3437.15,35.05,3472.2000000000003,1.4666666666666666,1.0,0,0,0,0
instance_00019,15,15,10,5,0.3333333333333333,1069.09,0.0,1069.09,1.5,1.0,0,0,0,0
instance_00021,14,14,11,3,0.21428571428571427,3725.08,0.0,3725.08,1.2727272727272727,1.0,0,0,0,0
instance_00037,74,74,61,13,0.17567567567567569,8954.03,0.0,8954.03,1.2131147540983607,1.0,0,0,0,0
instance_00038,107,107,86,21,0.19626168224299065,14232.419999999998,51.05,14283.469999999998,1.244186046511628,1.0,0,0,0,0
instance_00039,99,99,83,16,0.16161616161616163,17004.329999999998,38.1,17042.429999999997,1.1927710843373494,1.0,0,0,0,0
instance_00040,86,86,57,29,0.3372093023255814,11639.169999999996,65.67,11704.839999999997,1.5087719298245614,1.0,0,0,0,0
instance_00042,105,105,79,26,0.24761904761904763,13768.199999999999,301.42,14069.619999999999,1.3291139240506329,1.0,0,0,0,0
instance_00043,104,104,76,28,0.2692307692307692,13050.830000000002,160.62,13211.450000000003,1.368421052631579,1.0,0,0,0,0
instance_00044,100,100,76,24,0.24,15722.369999999999,343.67,16066.039999999999,1.3157894736842106,1.0,0,0,0,0
instance_00045,105,105,75,30,0.2857142857142857,16651.4,289.98,16941.38,1.4,1.0,0,0,0,0
instance_00047,121,121,95,26,0.21487603305785125,21525.350000000002,268.09,21793.440000000002,1.2736842105263158,1.0,0,0,0,0
instance_00048,108,108,78,30,0.2777777777777778,18489.370000000003,298.07,18787.440000000002,1.3846153846153846,1.0,0,0,0,0
instance_00049,75,75,55,20,0.26666666666666666,11359.339999999998,311.54,11670.88,1.3636363636363635,1.0,0,0,0,0
instance_00050,97,97,75,22,0.2268041237113402,17205.289999999997,187.02999999999997,17392.319999999996,1.2933333333333332,1.0,0,0,0,0
instance_00051,105,105,71,34,0.3238095238095238,18176.0,271.85,18447.85,1.4788732394366197,1.0,0,0,0,0
instance_00053,114,114,78,36,0.3157894736842105,15725.11,978.69,16703.8,1.4615384615384615,1.0,0,0,0,0
instance_00054,89,89,63,26,0.29213483146067415,12009.32,197.66,12206.98,1.4126984126984128,1.0,0,0,0,0
instance_00055,90,90,67,23,0.25555555555555554,12230.02,429.40999999999997,12659.43,1.3432835820895523,1.0,0,0,0,0
instance_00056,83,83,57,26,0.3132530120481928,13494.85,306.78,13801.630000000001,1.456140350877193,1.0,0,0,0,0
instance_00057,76,76,53,23,0.3026315789473684,14217.490000000002,81.03999999999999,14298.530000000002,1.4339622641509433,1.0,0,0,0,0
instance_00058,103,103,78,25,0.24271844660194175,18552.010000000002,315.18,18867.190000000002,1.3205128205128205,1.0,0,0,0,0
instance_00059,95,95,68,27,0.28421052631578947,14147.77,289.12,14436.890000000001,1.3970588235294117,1.0,0,0,0,0
instance_00060,90,90,62,28,0.3111111111111111,14216.31,326.89,14543.199999999999,1.4516129032258065,1.0,0,0,0,0
instance_00061,95,95,76,19,0.2,16186.240000000002,170.65000000000003,16356.890000000001,1.25,1.0,0,0,0,0
instance_00062,85,85,71,14,0.16470588235294117,19133.579999999998,19.05,19152.629999999997,1.1971830985915493,1.0,0,0,0,0
instance_00063,92,92,71,21,0.22826086956521738,18717.320000000003,97.66999999999999,18814.99,1.295774647887324,1.0,0,0,0,0
instance_00065,92,92,72,20,0.21739130434782608,21022.870000000006,254.02,21276.890000000007,1.2777777777777777,1.0,0,0,0,0
instance_00068,10,10,7,3,0.3,809.8399999999999,16.0,825.8399999999999,1.4285714285714286,1.0,0,0,0,0
instance_00069,19,19,14,5,0.2631578947368421,4571.900000000001,141.42000000000002,4713.320000000001,1.3571428571428572,1.0,0,0,0,0
instance_00070,17,17,10,7,0.4117647058823529,2448.29,0.0,2448.29,1.7,1.0,0,0,0,0
instance_00075,13,13,9,4,0.3076923076923077,3362.23,125.4,3487.63,1.4444444444444444,1.0,0,0,0,0
instance_00077,16,16,10,6,0.375,4870.02,27.57,4897.59,1.6,1.0,0,0,0,0
instance_00081,14,14,9,5,0.35714285714285715,2963.2700000000004,8.52,2971.7900000000004,1.5555555555555556,1.0,0,0,0,0
instance_00082,15,15,9,6,0.4,1471.7900000000002,72.91,1544.7000000000003,1.6666666666666667,1.0,0,0,0,0
instance_00083,15,15,10,5,0.3333333333333333,1147.8500000000001,8.52,1156.3700000000001,1.5,1.0,0,0,0,0
instance_00085,11,11,4,7,0.6363636363636364,1313.38,279.35999999999996,1592.74,2.75,1.0,0,0,0,0
instance_00090,11,11,8,3,0.2727272727272727,1157.29,0.0,1157.29,1.375,1.0,0,0,0,0
instance_00091,30,30,24,6,0.2,3852.56,88.0,3940.56,1.25,1.0,0,0,0,0
instance_00092,66,66,54,12,0.18181818181818182,9599.460000000003,94.1,9693.560000000003,1.2222222222222223,1.0,0,0,0,0
instance_00093,76,76,61,15,0.19736842105263158,12746.08,17.04,12763.12,1.2459016393442623,1.0,0,0,0,0
instance_00094,89,89,65,24,0.2696629213483146,10598.900000000001,338.31,10937.210000000001,1.3692307692307693,1.0,0,0,0,0
instance_00095,71,71,52,19,0.2676056338028169,7840.1799999999985,173.46,8013.6399999999985,1.3653846153846154,1.0,0,0,0,0
instance_00096,78,78,59,19,0.24358974358974358,11635.730000000001,372.06,12007.79,1.3220338983050848,1.0,0,0,0,0
instance_00097,85,85,66,19,0.2235294117647059,11896.1,215.97,12112.07,1.2878787878787878,1.0,0,0,0,0
instance_00098,94,94,72,22,0.23404255319148937,13276.470000000001,175.45999999999998,13451.93,1.3055555555555556,1.0,0,0,0,0
instance_00099,73,73,54,19,0.2602739726027397,12093.33,219.64,12312.97,1.3518518518518519,1.0,0,0,0,0
instance_00100,79,79,55,24,0.3037974683544304,11074.440000000002,314.7,11389.140000000003,1.4363636363636363,1.0,0,0,0,0
instance_00101,67,67,47,20,0.29850746268656714,9488.980000000001,221.20000000000002,9710.180000000002,1.425531914893617,1.0,0,0,0,0
instance_00102,62,62,44,18,0.2903225806451613,11072.330000000004,107.93,11180.260000000004,1.4090909090909092,1.0,0,0,0,0
instance_00103,67,67,50,17,0.2537313432835821,8424.510000000002,423.12,8847.630000000003,1.34,1.0,0,0,0,0
instance_00104,36,36,19,17,0.4722222222222222,5140.35,526.87,5667.22,1.894736842105263,1.0,0,0,0,0
instance_00105,26,26,16,10,0.38461538461538464,4925.990000000001,69.86,4995.85,1.625,1.0,0,0,0,0
instance_00106,24,24,14,10,0.4166666666666667,3395.7000000000003,170.51999999999998,3566.2200000000003,1.7142857142857142,1.0,0,0,0,0
instance_00107,23,23,13,10,0.43478260869565216,2698.9900000000002,123.79,2822.78,1.7692307692307692,1.0,0,0,0,0
instance_00108,15,15,10,5,0.3333333333333333,2788.17,8.52,2796.69,1.5,1.0,0,0,0,0
instance_00109,18,18,11,7,0.3888888888888889,5424.52,27.569999999999997,5452.09,1.6363636363636365,1.0,0,0,0,0
instance_00110,15,15,9,6,0.4,880.04,8.52,888.56,1.6666666666666667,1.0,0,0,0,0
instance_00111,14,14,11,3,0.21428571428571427,1051.69,24.52,1076.21,1.2727272727272727,1.0,0,0,0,0
instance_00112,19,19,13,6,0.3157894736842105,1362.81,8.52,1371.33,1.4615384615384615,1.0,0,0,0,0
instance_00114,25,25,16,9,0.36,3262.46,107.05,3369.51,1.5625,1.0,0,0,0,0
instance_00115,19,19,12,7,0.3684210526315789,1551.6200000000001,8.52,1560.14,1.5833333333333333,1.0,0,0,0,0
instance_00116,16,16,9,7,0.4375,5496.21,66.44,5562.65,1.7777777777777777,1.0,0,0,0,0
instance_00117,21,21,13,8,0.38095238095238093,2873.01,81.42999999999999,2954.44,1.6153846153846154,1.0,0,0,0,0
instance_00118,22,22,18,4,0.18181818181818182,4652.65,0.0,4652.65,1.2222222222222223,1.0,0,0,0,0
instance_00120,23,23,12,11,0.4782608695652174,2883.6499999999996,42.67,2926.3199999999997,1.9166666666666667,1.0,0,0,0,0
instance_00121,15,15,11,4,0.26666666666666666,1524.6999999999996,0.0,1524.6999999999996,1.3636363636363635,1.0,0,0,0,0
instance_00122,14,14,7,7,0.5,2301.14,96.42999999999999,2397.5699999999997,2.0,1.0,0,0,0,0
instance_00123,29,29,13,16,0.5517241379310345,3939.870000000001,549.33,4489.200000000001,2.230769230769231,1.0,0,0,0,0
instance_00124,28,28,20,8,0.2857142857142857,3377.17,64.52,3441.69,1.4,1.0,0,0,0,0
