coverage_status,fuel,payload_t,consumption_parameter,physical_legs,vehicles,distance_km,emissions_kgco2,distance_share
covered,柴油,8.6,freight_diesel_ge_8_lt_20t_consumption,2970,1323,492284.15,380260.9949247036,0.36534932509094153
covered,柴油,30.0,freight_diesel_ge_20t_consumption,578,429,474351.49,417730.1914646508,0.35204057804295036
diesel_le_2t_no_official_default,柴油,2.0,,6577,2933,315387.18,,0.23406500768983785
covered,柴油,14.4,freight_diesel_ge_8_lt_20t_consumption,725,371,54589.46,42167.19626663241,0.040513639060040726
diesel_le_2t_no_official_default,柴油,1.5,,57,33,2886.07,,0.0021419006211457624
covered,柴油,19.0,freight_diesel_ge_8_lt_20t_consumption,4,4,2404.97,1857.700039629682,0.0017848516275893944
covered,汽油,1.5,freight_gasoline_le_2t_consumption,10,6,1458.48,421.1182034002943,0.0010824128375017486
covered,柴油,40.0,freight_diesel_ge_20t_consumption,1,1,1179.32,1038.5496404746025,0.0008752338787796623
covered,柴油,10.0,freight_diesel_ge_8_lt_20t_consumption,16,13,1010.4,780.4754820400383,0.0007498696800859571
covered,柴油,8.0,freight_diesel_ge_8_lt_20t_consumption,8,6,535.49,413.63501175536425,0.0003974146031168143
electricity_consumption_missing,纯电动,2.0,,12,11,447.75,,0.00033229824748464695
covered,汽油,0.5,freight_gasoline_le_2t_consumption,11,9,403.29,116.4450388413312,0.00029930220039772927
covered,柴油,18.0,freight_diesel_ge_8_lt_20t_consumption,1,1,250.0,193.11052109066662,0.0001855378266245935
covered,柴油,9.6,freight_diesel_ge_8_lt_20t_consumption,1,1,116.0,89.60328178606932,8.608955155381138e-05
covered,柴油,20.0,freight_diesel_ge_20t_consumption,1,1,57.0,50.19615499359999,4.230262447040732e-05
covered,柴油,12.0,freight_diesel_ge_8_lt_20t_consumption,1,1,50.49,39.00060083947103,3.7471219465102905e-05
covered,柴油,6.0,freight_diesel_gt_4_lt_8t_consumption,2,1,22.59,14.266502078579517,1.676519801379827e-05
