lane_id,departure_site_id,arrival_site_id,physical_legs,vehicle_distance_km,emissions_kgco2_min,emissions_kgco2_max,waybills
lane_00232,site_0255,site_1192,39,55770.0,49112.974806895996,49112.974806895996,179
lane_00215,site_0246,site_0895,35,58160.55,44925.65646967909,44925.65646967909,104
lane_02524,site_2095,site_1339,18,34706.700000000004,29312.24549313269,29312.24549313269,54
lane_02530,site_2095,site_1637,26,20189.81,17695.825740958153,17695.825740958153,45
lane_00223,site_0246,site_2207,22,33530.86,10347.556212674745,17042.119780300643,41
lane_02542,site_2095,site_2192,14,18791.22,15822.098660322043,15822.098660322043,26
lane_01368,site_1232,site_0164,13,17891.77,15756.106316313026,15756.106316313026,14
lane_02513,site_2095,site_0964,15,16892.67,14510.67768910624,14510.67768910624,21
lane_02535,site_2095,site_1907,38,18415.62,14367.239485186285,14463.997705577249,87
lane_02548,site_2095,site_2355,14,15166.759999999998,13356.369047556711,13356.369047556711,18
lane_01208,site_1118,site_0164,32,16754.56,13055.22180755145,13055.22180755145,40
lane_00240,site_0255,site_2316,56,16166.64,12385.11995917267,12442.758014275878,438
lane_01323,site_1192,site_1763,21,14204.609999999999,12143.155281024641,12143.155281024641,40
lane_00231,site_0255,site_1119,30,15642.500000000002,12082.925304643011,12082.925304643011,63
lane_02510,site_2095,site_0857,33,14203.15,11995.338348306926,11995.338348306926,77
lane_02504,site_2095,site_0534,11,14289.0,11880.675057586719,11880.675057586719,31
lane_00750,site_0686,site_2119,11,13271.28,10711.969491600703,10711.969491600703,14
lane_02341,site_1867,site_2095,8,11567.49,10030.171058221782,10030.171058221782,9
lane_02522,site_2095,site_1293,13,11323.0,9971.42215776373,9971.42215776373,45
lane_00740,site_0686,site_1242,5,10893.65,9593.321821860185,9593.321821860185,8
lane_02506,site_2095,site_0773,15,10922.699999999999,9303.770623326862,9303.770623326862,35
lane_02747,site_2194,site_0407,4,10313.7,9082.597960657758,9082.597960657758,6
lane_00218,site_0246,site_1472,7,13499.5,7744.011946791528,8899.108998298696,17
lane_00744,site_0686,site_1300,5,10788.7,8801.611861630041,8801.611861630041,6
lane_00745,site_0686,site_1339,5,10109.199999999999,8465.013555709322,8465.013555709322,5
lane_00226,site_0255,site_0385,41,10369.31,8009.691429802641,8009.691429802641,111
lane_00747,site_0686,site_1637,8,9504.48,7855.81570795279,7855.81570795279,12
