vehicle_type_name,fuel,payload_t,physical_legs,vehicles,distance_km,emissions_kgco2_min,emissions_kgco2_max
9.6米厢式货车,柴油,8.6,2964,1318,491436.03,379605.8713441139,379605.8713441139
牵引车头,柴油,30.0,250,191,213102.87,187665.69635264893,187665.69635264893
4.2米厢式货车,柴油,2.0,6553,2922,314449.15,97038.37765129773,159819.3448994068
17.5米厢式货车,柴油,30.0,130,80,102449.71,90220.72845981353,90220.72845981353
16.5米重型集装箱半挂车,柴油,30.0,62,46,53557.67,47164.72113010667,47164.72113010667
7.6米厢式货车,柴油,14.4,723,370,54519.02,42112.7854462099,42112.7854462099
16.5米厢式货车,柴油,30.0,37,34,32276.99,28424.224434506614,28424.224434506614
17.5米重型集装箱车(180m³),柴油,30.0,9,8,13881.26,12224.313657306313,12224.313657306313
17.5米重型集装箱车(150m³),柴油,30.0,14,8,13649.14,12019.900824023602,12019.900824023602
14.5米重型集装箱半挂车,柴油,30.0,16,11,12791.75,11264.853783147064,11264.853783147064
12.5米重型集装箱半挂车,柴油,30.0,15,12,6474.63,5701.781245723023,5701.781245723023
14.5米厢式货车,柴油,30.0,6,6,5924.610000000001,5217.414769063727,5217.414769063727
12.5米厢式货车,柴油,30.0,18,14,4592.4,4044.2249507475194,4044.2249507475194
15米冷藏厢式货车,柴油,30.0,2,2,2966.9300000000003,2612.7803181607305,2612.7803181607305
13.5米重型集装箱半挂车,柴油,30.0,2,2,2662.1400000000003,2344.371790432672,2344.371790432672
9.6米冷藏厢式车,柴油,19.0,4,4,2404.97,1857.700039629682,1857.700039629682
依维柯,柴油,1.5,56,32,2840.98,876.7207357367123,1443.9331843393973
13米板车,柴油,30.0,1,1,1447.03,1274.3042484278772,1274.3042484278772
16.5米重型集装箱半挂车（130m³）,柴油,30.0,1,1,1445.28,1272.7631384061438,1272.7631384061438
17.5米板车,柴油,30.0,2,2,1350.39,1189.1997498562719,1189.1997498562719
16米厢式货车,柴油,30.0,1,1,1188.06,1046.2463842402879,1046.2463842402879
21米重型集装箱半挂车,柴油,40.0,1,1,1179.32,1038.5496404746025,1038.5496404746025
13米高栏,柴油,30.0,3,3,1036.73,912.9799959037705,912.9799959037705
13.75米板车,柴油,30.0,1,1,989.08,871.0177715977172,871.0177715977172
7.2米厢式货车,柴油,10.0,16,13,1010.4,780.4754820400383,780.4754820400383
17.5米冷藏厢式货车,柴油,30.0,1,1,860.0,757.3454963946665,757.3454963946665
16.5米重型集装箱半挂车（130m³固定班次）,柴油,30.0,1,1,741.29,652.8053988632585,652.8053988632585
4.2米厢式货车(共营),柴油,2.0,20,8,901.4399999999999,278.18257785077753,458.1584980150885
17.5米重型集装箱半挂车(共建),柴油,30.0,2,2,493.11,434.2495787525279,434.2495787525279
金杯车,汽油,1.5,10,6,1458.48,421.11820340029436,421.11820340029436
6.8米厢式货车,柴油,8.0,6,5,501.49,387.3719808870336,387.3719808870336
9.6米飞翼厢式货车,柴油,8.6,2,2,440.77,340.4692975245325,340.4692975245325
13.5米厢式货车,柴油,30.0,3,1,288.41999999999996,253.99254426761593,253.99254426761593
9.6米厢式货车(共营),柴油,8.6,2,2,257.89,199.20508913628805,199.20508913628805
9.6米重型自卸货车,柴油,18.0,1,1,250.0,193.11052109066662,193.11052109066662
13米厢式货车,柴油,30.0,1,1,182.0,160.27544226026663,160.27544226026663
(新能源)4.2米厢式货车,纯电动,2.0,12,11,447.75,125.9153595,125.9153595
小型面包车,汽油,0.5,11,9,403.29,116.4450388413312,116.4450388413312
9.6米厢式货车尾板车,柴油,8.6,2,1,149.46,115.44919392884414,115.44919392884414
9.6米厢式货车(共建),柴油,9.6,1,1,116.0,89.60328178606932,89.60328178606932
7.6米厢式货车(共营),柴油,14.4,2,1,70.44,54.41082042250623,54.41082042250623
9.6m冷藏箱式尾板车,柴油,20.0,1,1,57.0,50.19615499359999,50.19615499359999
6.8米高栏,柴油,12.0,1,1,50.49,39.00060083947103,39.00060083947103
5.2米厢式货车,柴油,8.0,2,1,34.0,26.26303086833066,26.26303086833066
4.2米冷藏厢式车,柴油,1.5,1,1,45.09,13.914683656473597,22.917073433063035
5.8米厢式货车,柴油,6.0,2,1,22.59,14.266502078579517,14.266502078579517
4.2米厢式货车尾板车,柴油,2.0,2,1,18.54,5.721406852761599,9.422988277866239
4.2米高栏,柴油,2.0,2,2,18.05,5.5701938345386655,9.173944898354131
