waybill_id,physical_legs,transported_weight_kg,carried_distance_km,emissions_kgco2_min,emissions_kgco2_max
waybill_11506,5,0.5,4582.94,4016.089416988797,4021.755591791627
waybill_04822,6,1.25,4611.51,3558.772600082225,3606.7684822538586
waybill_03183,3,0.3,3532.21,2821.4729586494277,2821.4729586494277
waybill_00257,3,0.46,2896.69,2506.8262865571664,2522.2175978873347
waybill_02833,5,0.03,3019.38,2497.998245803498,2498.746729338401
waybill_00031,5,0.3,2991.6,2391.3297514925684,2396.5866360083724
waybill_02809,3,1.0,2724.01,2276.7081825253463,2280.2946772440164
waybill_00084,5,1.05,2513.81,2028.1509805529597,2077.4203856788436
waybill_03027,3,0.33,2323.94,1996.31742868577,2002.4739663098896
waybill_01562,3,0.46,2293.89,1987.05271440046,1995.1566620835774
waybill_09789,5,1.6,2342.22,1988.2640792782743,1988.273116302486
waybill_01394,4,0.48,2319.4700000000003,1971.5546368391356,1977.4574041133258
waybill_02151,3,0.1,2249.67,1973.4614058367245,1973.4614058367245
waybill_01454,3,0.33,2295.92,1963.9462278344388,1964.2873257409522
waybill_11665,2,2.52,2232.4,1957.0270337259403,1957.0270337259403
waybill_05100,2,0.32,2230.93,1942.0115647572882,1942.0115647572882
waybill_11540,4,1.0,2206.36,1923.474639502046,1927.1482693953537
waybill_12031,4,1.05,2307.4,1858.6886226206962,1919.1697478152455
waybill_11608,3,4.21,2187.19,1886.8018377771718,1886.8018377771718
waybill_05003,3,0.05,2424.24,1872.5849985953507,1872.5849985953507
waybill_11876,6,1.0,2174.14,1863.55926311215,1869.466787368696
waybill_03213,4,1.0,2128.5299999999997,1865.6412601457455,1865.7442292960868
waybill_10009,2,0.41,2085.71,1829.8375252661417,1829.8375252661417
waybill_11734,4,1.0,2077.93,1796.4850182862806,1804.541306675551
waybill_11542,5,1.0,2069.46,1783.9379244479321,1787.847145823528
waybill_00775,2,0.71,2078.84,1781.497579235285,1782.1419164942395
waybill_09311,4,0.95,2376.16,1714.5770793919373,1774.804644262329
waybill_02995,5,1.0,2306.91,1760.9852571079307,1767.3787651882617
waybill_11845,3,1.0,2014.96,1765.4339961994142,1765.6049193293918
waybill_11602,2,0.24,2004.43,1765.169806207397,1765.169806207397
waybill_00050,3,1.42,1993.98,1742.5985246166936,1742.8151606271304
waybill_05462,4,0.3,2390.1,1734.879626788555,1735.3130343845328
waybill_11903,3,1.0,1966.6399999999999,1719.8083298522479,1721.9106843509724
waybill_03176,3,1.01,1994.3600000000001,1716.7201006033347,1716.949481226469
waybill_02248,2,1.0,2215.76,1711.546272847422,1711.546272847422
waybill_09431,2,3.0,1986.27,1701.662759802312,1701.662759802312
waybill_11745,3,1.0,1936.41,1668.7801605975803,1678.7967916708005
waybill_11906,4,1.0,1929.05,1644.1250988564038,1660.4847311095361
waybill_11553,4,1.05,2145.06,1629.2709560752978,1641.17830862078
waybill_00558,2,1.0,2113.92,1632.880770975928,1632.880770975928
waybill_11676,3,0.29,1906.01,1607.3412834736691,1630.061885748583
waybill_08722,2,1.0,1892.6599999999999,1617.0185862808826,1617.0185862808826
waybill_05351,4,1.0,1926.0900000000001,1600.3145089352558,1613.510059348516
waybill_04989,3,1.0,1912.0100000000002,1598.7536777653115,1610.8347291155317
waybill_00353,3,0.29,1904.13,1596.283644013417,1606.7914234310683
waybill_10445,3,1.0,1860.02,1580.2928782837246,1580.3026188876333
waybill_02253,2,0.29,2046.6699999999998,1569.4167920977634,1574.3741959157435
waybill_04777,3,2.36,1820.3,1529.381505301604,1552.736320015857
waybill_11760,3,1.0,1805.15,1543.7735220162226,1546.357042169451
waybill_03251,5,1.0,2031.6,1511.4399236842348,1543.233749347191
waybill_10337,4,1.0,1838.99,1532.5362969183186,1542.8110759589692
waybill_03124,4,1.0,1823.1100000000001,1528.8115273565402,1535.9562026360977
waybill_06591,2,1.2,1778.6200000000001,1518.833451960448,1518.833451960448
waybill_05807,3,0.36,1837.95,1506.5037255910158,1506.6921579314737
waybill_07343,4,0.42,1780.5,1499.256703788597,1502.886973753899
waybill_10803,4,1.2,1778.67,1499.2433167605125,1502.5113731321273
waybill_05477,4,1.2,1834.12,1490.0566309213405,1490.072934918436
waybill_11390,1,1.0,1928.5,1489.6545596934022,1489.6545596934022
waybill_11789,3,1.5,1950.27,1471.1303428060703,1486.341965717544
waybill_02709,4,1.2,2377.81,1485.6643862043238,1485.6904027788378
waybill_09705,3,1.0,1925.66,1459.166334806463,1471.3452165179724
waybill_00957,2,1.0,1722.4499999999998,1466.7767774524077,1466.7767774524077
waybill_11749,5,0.4,1694.48,1458.9361214531525,1459.0018200312377
waybill_11486,2,1.0,1875.76,1448.9159641641154,1448.9159641641154
waybill_12033,4,0.34,1671.59,1442.6664259847016,1444.768780483426
waybill_11808,4,4.82,1624.52,1411.5292097124368,1415.1044346593956
waybill_11532,3,1.0,1636.8700000000001,1408.3938752089687,1410.4962297076931
waybill_11547,4,0.46,1621.89,1398.3852923975085,1401.2503244066916
waybill_11691,3,0.41,1638.58,1397.1591531743982,1397.2754777822897
waybill_11601,2,0.295,1590.91,1394.9511472721438,1394.9511472721438
waybill_11626,3,1.0,1595.54,1377.4271634342147,1377.5888830110396
waybill_03182,4,1.25,1585.39,1373.8889147994169,1374.6221261630549
waybill_04819,5,1.06,1621.5,1367.992356780853,1368.1185810290474
waybill_04784,3,1.0,1582.5,1361.1431553823957,1361.2181576030148
waybill_11897,5,1.5,1567.6299999999999,1356.0927849073732,1360.9044414524121
waybill_06923,4,1.0,1840.29,1346.2694554985972,1356.7998110286785
waybill_12025,5,1.0,1569.1,1350.3221764142331,1355.268463145703
waybill_02870,3,1.23,1544.61,1351.93629650119,1354.833273118141
waybill_11860,4,1.0,1550.5900000000001,1354.2983506844748,1354.2983506844748
waybill_11909,5,1.0,1565.3899999999999,1350.0370904482193,1354.0143318075968
waybill_06045,3,0.64,1689.33,1353.037054334828,1353.404994247487
waybill_02062,2,1.36,1792.69,1324.0041784530256,1350.1508399110462
waybill_00079,4,2.04,1549.61,1340.8439049425117,1343.571148228788
waybill_11594,4,2.89,1537.51,1340.4349704287035,1342.7090271941804
waybill_02798,4,1.0,1552.96,1329.508510926429,1337.580676157148
waybill_00221,2,0.36,1518.22,1336.9966041119892,1336.9966041119892
waybill_12000,4,1.0,1544.33,1326.1248157882071,1333.7318603997587
waybill_11563,4,0.92,1539.29,1330.2744353146543,1330.6011525678343
waybill_00119,5,1.0,1543.2099999999998,1318.9535983659816,1320.5682920463169
waybill_11950,4,6.27,1531.95,1311.6182735787309,1317.1780073189263
waybill_09391,2,1.0,1696.67,1294.3725988412582,1301.3485025625719
waybill_04783,3,1.56,1701.67,1293.4671821166605,1299.8573079312464
waybill_00208,3,0.42,1489.36,1298.6445252171477,1298.687563840806
waybill_07108,2,1.0,1689.03,1292.0149101489658,1297.4654588493627
waybill_00101,3,1.0,1701.67,1290.6043375444551,1295.1422873883141
waybill_00164,4,0.6,1715.05,1290.0590846252842,1294.2442719179862
waybill_02999,4,1.0,1490.43,1285.4943691701828,1291.6822338380082
waybill_03132,4,1.05,3972.49,1289.8734031520346,1289.9248313951045
waybill_03022,4,0.93,1485.48,1283.944730806247,1289.1300251742855
waybill_09511,3,1.2,1471.8799999999999,1282.213055192312,1286.2780065307763
waybill_10420,1,1.56,1661.73,1283.590184847974,1283.590184847974
waybill_11868,4,0.23,1485.3,1273.5984798702696,1280.000907416103
waybill_02866,3,1.2,1460.04,1276.3523702558862,1276.625631358479
waybill_12028,3,1.0,1463.32,1274.3787464311984,1276.4811009299228
waybill_11514,3,1.4,1463.32,1272.4290242901116,1273.2699660896014
waybill_11790,4,1.22,1464.29,1267.4401178405842,1269.8582668540932
waybill_04701,3,1.87,1448.6,1267.4119084721774,1267.6180629880562
waybill_03123,4,1.2,1445.49,1264.7818143593631,1264.8405894943003
waybill_02029,3,0.98,1441.77,1261.663603795056,1264.4587569747466
waybill_07986,5,2.0,2302.02,1261.3769628267964,1264.3855695566854
waybill_11753,2,0.1,1431.0500000000002,1254.2941236519723,1254.2941236519723
waybill_04734,4,1.0,2318.8,867.8714929780341,1254.2673003474133
waybill_00100,6,4.7,1461.27,1232.933076399001,1248.1403332286523
waybill_06944,5,1.2,1452.76,1239.4133331138685,1240.0477462846984
waybill_05259,6,1.2,1676.9,1235.2919110802559,1239.2902957829697
waybill_12014,3,1.0,1411.36,1221.5715193650976,1227.604887959124
waybill_03144,5,0.99,3991.0499999999997,1221.893930356036,1225.6479943434347
waybill_11934,4,2.07,1589.4999999999998,1222.9124148479304,1225.014769346655
waybill_11702,2,1.56,1386.7,1215.1520389639602,1217.2543934626847
waybill_08003,4,1.2,1443.1,1213.459271451116,1213.4673928000045
waybill_12007,4,2.35,1449.3,1204.6215625354182,1208.0729074183523
waybill_01102,5,1.28,1629.92,1201.7486100499345,1204.9518578821558
waybill_06647,2,0.4,1376.03,1193.6399421316007,1199.9709640836002
waybill_06891,5,1.0,1492.3999999999999,1166.9253809112909,1198.1079253633152
waybill_02998,5,1.17,1423.69,1193.4157802871298,1196.2479647955704
waybill_00059,3,0.35,1408.06,1190.706360897067,1190.8224169647617
waybill_00120,5,1.08,1408.96,1182.2088205532189,1189.2751786060467
waybill_11924,3,1.5,1422.8,1175.3214621813345,1185.064567550542
waybill_01091,5,1.11,1606.55,1176.1935813937225,1182.5322233703544
waybill_11603,3,1.0,1527.55,1167.5778225823954,1172.9005928517206
waybill_02863,3,1.2,1365.64,1166.813490516514,1167.086751619107
waybill_00481,4,1.3,1933.1100000000001,1153.329261183075,1165.3075736034223
waybill_00069,4,0.31,1397.81,1157.5256874530535,1164.1783996533356
waybill_03217,4,1.2,1381.6399999999999,1163.2620037075394,1163.3855666879492
waybill_10294,2,1.0,2468.41,1161.8764856149483,1161.8764856149483
waybill_04840,3,0.46,1340.77,1153.5406103597375,1158.9891625221487
waybill_03051,3,1.3,1363.55,1149.8036723982052,1149.8991957447595
waybill_11508,4,1.0,1318.04,1141.2097629142918,1145.9076167941575
waybill_02839,2,1.26,1307.52,1144.0818168295348,1144.1710104815609
waybill_06963,4,0.57,1487.18,1079.1980526224022,1136.7123223705084
waybill_03091,4,0.37,1344.41,1115.9452802590095,1122.557872218555
waybill_03194,4,0.3,1341.96,1115.3002205636776,1121.4954779326633
waybill_12003,3,2.5,1273.01,1107.0200933573499,1107.8583527268572
waybill_02897,3,2.5,1309.9799999999998,1095.254337716965,1105.8359890400798
waybill_11729,3,1.0,1287.9,1089.9743912271272,1095.0495907862512
waybill_04750,3,6.28,1444.32,1091.6220766968618,1092.1503950096046
waybill_11606,2,2.86,1244.37,1090.0076689344876,1090.0076689344876
waybill_11538,4,4.2,1252.0,1082.2296914614003,1089.3233909238581
waybill_00702,2,2.52,1971.5,1079.726955442739,1088.3120687803603
waybill_07315,4,1.2,1324.5,1075.0122455683875,1086.799135241829
waybill_11970,3,1.07,1249.07,1085.6674076167672,1086.1809965011587
waybill_03131,6,0.41,4635.91,1083.8509620735385,1085.2825959337192
waybill_11798,4,1.2,1252.96,1081.8610513620963,1083.8449368684956
waybill_02040,5,1.2,1294.75,1082.2294936166254,1082.2417948124573
waybill_09041,2,4.5,1697.32,1061.1931539301784,1068.298832620549
waybill_06825,4,2.36,1445.39,1067.560025671635,1067.5867123621767
