lane_id,origin_site_id,destination_site_id,active_days,total_observed_trips,total_orders,total_weight_kg,total_volume_m3,distance_km_p50,duration_hours_p50,duration_hours_p90,daily_weight_p50_kg,daily_weight_p90_kg,daily_volume_p50_m3,daily_volume_p90_m3,destination_city_count_p50
site_0237__site_0255,site_0237,site_0255,108,111,5491,8484.149,70.70181931,8.52,0.3277777777777778,0.3277777777777778,15.515,253.0874,0.11854416000000001,2.127141742,8.0
site_0255__site_2125,site_0255,site_2125,102,132,1732,2367.3849999999998,19.18422387,58.12,1.067986111111111,1.0744305555555556,6.3100000000000005,62.67560000000002,0.063330625,0.5116516090000002,4.0
site_0255__site_1786,site_0255,site_1786,81,97,1364,2160.92,18.067874,46.9,1.1536111111111111,1.1655555555555555,7.1,64.7,0.087896,0.604006,1.0
site_0246__site_1436,site_0246,site_1436,35,35,1233,1822.99,13.52365374,104.91,1.6322222222222222,1.6322222222222222,56.12,81.226,0.383067,0.7208092,8.0
site_0246__site_0812,site_0246,site_0812,31,31,1075,1569.0,12.023067,124.27,1.8219444444444444,1.8219444444444444,44.6,69.3,0.329934,0.645814,4.0
site_0255__site_0191,site_0255,site_0191,56,74,785,1142.031,9.03659315,55.91,1.345763888888889,1.373236111111111,17.12,41.925,0.152187905,0.36419915500000005,1.0
site_0255__site_2158,site_0255,site_2158,54,65,639,986.765,8.040452890000001,57.31,1.1968750000000001,1.2038888888888888,19.3,34.291000000000004,0.1428195,0.2702034,2.0
site_0651__site_0537,site_0651,site_0537,37,43,509,709.05,5.059997,88.0,2.5394444444444444,2.5394444444444444,10.5,48.62399999999999,0.081315,0.3446191999999998,1.0
site_0695__site_0690,site_0695,site_0690,54,55,441,324.587,3.03039319,57.0,0.9529861111111111,0.9558333333333333,2.135,21.149500000000007,0.017456,0.18846990000000002,2.0
site_0255__site_2348,site_0255,site_2348,56,56,438,693.63,5.636814,288.69,4.356527777777778,4.356527777777778,11.91,26.47,0.08636350000000001,0.2218615,2.0
site_0164__site_0237,site_0164,site_0237,82,205,415,672.489,6.39550607,10.53,2.1151388888888887,4.339625,4.95,18.631,0.03741195,0.19623701500000007,1.0
site_0255__site_0246,site_0255,site_0246,64,64,395,590.67,4.51818533,31.42,0.6298611111111111,0.6298611111111111,3.0,20.968000000000004,0.021066,0.1797892,2.0
site_0255__site_1542,site_0255,site_1542,39,39,350,510.05,3.884201,185.49,2.89,2.89,14.12,22.948000000000015,0.084283,0.1889222000000001,1.0
site_0246__site_1164,site_0246,site_1164,30,30,333,571.5699999999999,4.95460673,180.865,2.4904166666666665,2.4904166666666665,2.63,66.276,0.020585,0.633915546,1.0
site_1916__site_1881,site_1916,site_1881,41,41,320,495.21,3.76631368,24.97,0.7875,0.7875,10.8,24.37,0.070322,0.217918,1.0
site_0255__site_1425,site_0255,site_1425,54,54,318,517.14,4.358056,144.0,2.3266666666666667,2.3266666666666667,8.28,20.194000000000003,0.060035,0.18457260000000006,1.5
site_0255__site_0812,site_0255,site_0812,44,44,293,423.21,3.155665,144.07,2.015277777777778,2.015277777777778,4.87,19.088000000000008,0.036422,0.18611840000000007,1.0
site_0690__site_0651,site_0690,site_0651,49,57,211,197.02,1.89643647,88.0,1.364861111111111,1.3702777777777777,2.55,9.558,0.025313,0.08944911200000001,2.0
site_0690__site_0570,site_0690,site_0570,43,46,194,161.07,1.525072,88.0,1.3180555555555555,1.3180555555555555,2.46,8.700000000000005,0.022022,0.08811600000000006,3.0
site_0255__site_1202,site_0255,site_1202,37,39,179,260.44,2.33533451,1430.0,20.53527777777778,20.541944444444443,7.28,13.886,0.0531,0.12965479999999996,2.0
site_0255__site_1071,site_0255,site_1071,31,31,171,255.7,1.920506,191.61,2.716666666666667,2.716666666666667,7.2,18.1,0.038775,0.165407,1.0
site_1916__site_1197,site_1916,site_1197,29,30,149,203.95,1.44497,69.47,1.5730555555555557,1.5730555555555557,4.87,15.407999999999998,0.035344,0.1393452,1.0
site_1916__site_1873,site_1916,site_1873,18,20,146,200.76999999999998,1.46834834,45.41,0.9938888888888888,0.9938888888888888,9.94,17.899,0.0705425,0.13355870000000003,1.0
site_0255__site_1587,site_0255,site_1587,39,39,145,214.64,1.664042,246.59,2.8641666666666667,2.8641666666666667,4.56,11.352000000000004,0.022669,0.09265960000000002,2.0
site_1916__site_1233,site_1916,site_1233,36,37,142,199.75,1.542097,72.7,1.6648611111111111,1.6648611111111111,4.25,10.34,0.031005500000000002,0.0900975,1.0
site_1916__site_0362,site_1916,site_0362,35,35,142,186.82,1.465311,96.0,2.091111111111111,2.091111111111111,4.87,9.052000000000001,0.025487,0.08558040000000001,2.0
site_0651__site_0971,site_0651,site_0971,26,26,141,171.57999999999998,1.068697,103.0,1.8225,1.8225,5.88,10.935,0.032738,0.080154,1.0
site_0651__site_0669,site_0651,site_0669,9,9,138,243.79,2.266379,42.0,1.6897222222222221,1.6897222222222221,20.6,58.27,0.196175,0.6218222,1.0
site_1916__site_1202,site_1916,site_1202,33,37,137,212.22,1.84267384,83.26,1.9158333333333333,1.9402777777777778,4.79,14.068,0.036,0.116034596,2.0
site_1916__site_0329,site_1916,site_0329,33,33,128,177.45,1.22757805,55.88,1.295,1.295,4.4,10.192,0.030011,0.0923386,1.0
site_2125__site_1143,site_2125,site_1143,41,46,112,165.36,1.39130685,146.41,2.4569444444444444,2.463888888888889,3.22,8.74,0.02011,0.083915,1.0
site_0255__site_0388,site_0255,site_0388,41,41,111,109.115,0.99922622,252.91,3.8152777777777778,3.8152777777777778,1.91,4.2,0.01755,0.040886,1.0
site_2149__site_0164,site_2149,site_0164,46,87,110,140.749,1.30165858,56.0,1.2939583333333333,1.3703333333333334,2.0625,6.215,0.01942455,0.06273515,1.0
site_1916__site_0482,site_1916,site_0482,35,35,106,152.59,1.167206,90.82,2.002222222222222,2.002222222222222,3.62,8.888,0.021225,0.07707720000000001,1.0
site_0246__site_0900,site_0246,site_0900,35,35,104,154.36,1.11163,1661.73,15.775555555555556,15.775555555555556,2.2,9.356000000000003,0.014625,0.09765880000000005,1.0
site_2125__site_0930,site_2125,site_0930,37,39,102,142.57,1.08197841,114.86,2.0091666666666668,2.0091666666666668,3.0,7.767999999999995,0.01989,0.07697319999999999,1.0
site_0651__site_0690,site_0651,site_0690,27,27,102,126.83,0.8635649999999999,88.0,1.4619444444444445,1.4619444444444445,3.2,9.016000000000002,0.018979,0.08938800000000001,1.0
site_1916__site_1921,site_1916,site_1921,32,35,93,139.92,1.277523,44.14,0.8795833333333334,0.8925000000000001,4.075,8.648,0.02617,0.0819946,1.0
site_0651__site_1259,site_0651,site_1259,33,33,92,144.52,1.211946,25.0,0.7972222222222223,0.7972222222222223,3.0,10.486,0.01989,0.1079824,2.0
site_0255__site_0786,site_0255,site_0786,36,36,91,144.13,1.038856,139.47,2.1080555555555556,2.1080555555555556,3.46,7.22,0.023536,0.0612175,1.0
site_2125__site_1933,site_2125,site_1933,36,38,87,93.363,0.95552534,484.63,7.451527777777778,7.459722222222222,1.6949999999999998,6.397,0.017787365,0.06676071,1.0
site_2125__site_0164,site_2125,site_0164,42,77,86,125.71,1.64168716,53.86,1.307638888888889,1.4,1.985,6.947999999999999,0.0193075,0.094631851,1.0
site_0690__site_0537,site_0690,site_0537,33,42,84,59.7,0.5708088800000001,16.0,0.6655555555555556,0.6694444444444444,1.3900000000000001,3.684,0.012066,0.030043600000000004,1.0
site_0651__site_0569,site_0651,site_0569,22,22,80,107.87,0.803233,23.0,1.0520833333333335,1.0520833333333335,3.5,8.691,0.017736000000000002,0.08391760000000001,1.0
site_0237__site_0246,site_0237,site_0246,1,1,79,112.7,0.81054764,23.12,0.3283333333333333,0.3283333333333333,112.7,112.7,0.81054764,0.81054764,19.0
site_2125__site_0862,site_2125,site_0862,31,33,77,113.72999999999999,0.9708897,430.13,6.725,6.727222222222222,2.36,7.2700000000000005,0.01716857,0.06204,1.0
site_2125__site_1749,site_2125,site_1749,34,42,69,91.7,0.68310344,228.03,3.806388888888889,3.9631944444444445,2.0,6.76,0.0114395,0.0417897,1.0
site_0255__site_1533,site_0255,site_1533,8,10,67,118.28,1.12783,185.49,3.448611111111111,3.537361111111111,14.05,31.149,0.1447095,0.3111238,1.0
site_0255__site_1129,site_0255,site_1129,30,30,63,88.87,0.706039,520.21,7.7884722222222225,7.7884722222222225,2.1,5.316000000000002,0.012886,0.047790000000000006,2.0
site_2100__site_0164,site_2100,site_0164,39,51,62,111.65,0.71716993,54.91,1.4116666666666666,1.449888888888889,1.5,7.76,0.01,0.04623260000000002,1.0
site_2125__site_1350,site_2125,site_1350,18,18,54,80.54,0.66504093,1928.15,28.740138888888886,28.740138888888886,3.95,7.660000000000001,0.0329025,0.07386510000000002,1.0
site_2125__site_0833,site_2125,site_0833,26,28,52,80.01,0.57412553,325.205,6.0656944444444445,6.0656944444444445,2.87,5.8100000000000005,0.018407,0.046380000000000005,1.0
