instance_id,task_count,p50_time_dependent_vehicle_count,p90_robust_vehicle_count,vehicles_added_by_p90_robustness,selected_task_links,internal_deadhead_distance_km,task_service_rate,duplicate_task_assignments,route_type_violations,time_overlap_violations,deadhead_endpoint_violations,missing_selected_link_paths,solver_success,optimality_gap
instance_00004,14,10,10,0,4,49.4,1.0,0,0,0,0,0,True,0.0
instance_00005,16,12,12,0,4,84.45,1.0,0,0,0,0,0,True,0.0
instance_00006,21,15,15,0,6,100.45,1.0,0,0,0,0,0,True,0.0
instance_00010,124,113,115,2,9,0.0,1.0,0,0,0,0,0,True,0.0
instance_00012,91,80,81,1,10,224.62,1.0,0,0,0,0,0,True,0.0
instance_00014,15,11,11,0,4,181.4,1.0,0,0,0,0,0,True,0.0
instance_00016,23,18,18,0,5,115.93,1.0,0,0,0,0,0,True,0.0
instance_00017,22,16,17,1,5,16.0,1.0,0,0,0,0,0,True,0.0
instance_00019,15,13,13,0,2,0.0,1.0,0,0,0,0,0,True,0.0
instance_00021,14,12,12,0,2,0.0,1.0,0,0,0,0,0,True,0.0
instance_00037,74,66,66,0,8,149.78,1.0,0,0,0,0,0,True,0.0
instance_00038,107,92,93,1,14,32.0,1.0,0,0,0,0,0,True,0.0
instance_00039,99,90,90,0,9,93.94,1.0,0,0,0,0,0,True,0.0
instance_00040,86,66,67,1,19,250.77,1.0,0,0,0,0,0,True,0.0
instance_00042,105,86,87,1,18,282.37,1.0,0,0,0,0,0,True,0.0
instance_00043,104,83,84,1,20,331.73,1.0,0,0,0,0,0,True,0.0
instance_00044,100,81,82,1,18,543.97,1.0,0,0,0,0,0,True,0.0
instance_00045,105,84,85,1,20,164.55,1.0,0,0,0,0,0,True,0.0
instance_00047,121,101,102,1,19,300.13,1.0,0,0,0,0,0,True,0.0
instance_00048,108,86,87,1,21,216.61,1.0,0,0,0,0,0,True,0.0
instance_00049,75,61,64,3,11,116.57,1.0,0,0,0,0,0,True,0.0
instance_00050,97,79,80,1,17,445.91,1.0,0,0,0,0,0,True,0.0
instance_00051,105,75,78,3,27,349.02,1.0,0,0,0,0,0,True,0.0
instance_00053,114,85,89,4,25,799.1300000000001,1.0,0,0,0,0,0,True,0.0
instance_00054,89,69,71,2,18,112.13999999999999,1.0,0,0,0,0,0,True,0.0
instance_00055,90,72,75,3,15,234.96,1.0,0,0,0,0,0,True,0.0
instance_00056,83,62,64,2,19,306.78,1.0,0,0,0,0,0,True,0.0
instance_00057,76,59,60,1,16,324.83,1.0,0,0,0,0,0,True,0.0
instance_00058,103,84,85,1,18,448.19000000000005,1.0,0,0,0,0,0,True,0.0
instance_00059,95,75,78,3,17,231.97,1.0,0,0,0,0,0,True,0.0
instance_00060,90,69,72,3,18,506.19,1.0,0,0,0,0,0,True,0.0
instance_00061,95,80,81,1,14,303.65999999999997,1.0,0,0,0,0,0,True,0.0
instance_00062,85,77,78,1,7,0.0,1.0,0,0,0,0,0,True,0.0
instance_00063,92,76,77,1,15,193.89000000000004,1.0,0,0,0,0,0,True,0.0
instance_00065,92,79,80,1,12,97.09,1.0,0,0,0,0,0,True,0.0
instance_00068,10,7,7,0,3,16.0,1.0,0,0,0,0,0,True,0.0
instance_00069,19,14,14,0,5,141.42000000000002,1.0,0,0,0,0,0,True,0.0
instance_00070,17,12,12,0,5,19.05,1.0,0,0,0,0,0,True,0.0
instance_00075,13,9,9,0,4,125.4,1.0,0,0,0,0,0,True,0.0
instance_00077,16,11,13,2,3,0.0,1.0,0,0,0,0,0,True,0.0
instance_00081,14,11,12,1,2,0.0,1.0,0,0,0,0,0,True,0.0
instance_00082,15,10,10,0,5,91.96,1.0,0,0,0,0,0,True,0.0
instance_00083,15,10,10,0,5,27.57,1.0,0,0,0,0,0,True,0.0
instance_00085,11,6,6,0,5,126.77,1.0,0,0,0,0,0,True,0.0
instance_00090,11,9,9,0,2,0.0,1.0,0,0,0,0,0,True,0.0
instance_00091,30,25,25,0,5,162.89,1.0,0,0,0,0,0,True,0.0
instance_00092,66,58,59,1,7,56.0,1.0,0,0,0,0,0,True,0.0
instance_00093,76,65,65,0,11,123.35,1.0,0,0,0,0,0,True,0.0
instance_00094,89,70,72,2,17,294.05,1.0,0,0,0,0,0,True,0.0
instance_00095,71,59,60,1,11,228.95,1.0,0,0,0,0,0,True,0.0
instance_00096,78,64,64,0,14,688.17,1.0,0,0,0,0,0,True,0.0
instance_00097,85,73,73,0,12,413.46000000000004,1.0,0,0,0,0,0,True,0.0
instance_00098,94,79,80,1,14,435.42999999999995,1.0,0,0,0,0,0,True,0.0
instance_00099,73,61,61,0,12,380.26,1.0,0,0,0,0,0,True,0.0
instance_00100,79,63,65,2,14,536.13,1.0,0,0,0,0,0,True,0.0
instance_00101,67,53,54,1,13,585.0899999999999,1.0,0,0,0,0,0,True,0.0
instance_00102,62,50,50,0,12,121.61,1.0,0,0,0,0,0,True,0.0
instance_00103,67,55,56,1,11,428.03000000000003,1.0,0,0,0,0,0,True,0.0
instance_00104,36,23,23,0,13,778.3299999999999,1.0,0,0,0,0,0,True,0.0
instance_00105,26,20,21,1,5,16.0,1.0,0,0,0,0,0,True,0.0
instance_00106,24,15,15,0,9,250.82999999999998,1.0,0,0,0,0,0,True,0.0
instance_00107,23,14,15,1,8,429.4,1.0,0,0,0,0,0,True,0.0
instance_00108,15,11,11,0,4,78.3,1.0,0,0,0,0,0,True,0.0
instance_00109,18,12,12,0,6,46.620000000000005,1.0,0,0,0,0,0,True,0.0
instance_00110,15,11,11,0,4,8.52,1.0,0,0,0,0,0,True,0.0
instance_00111,14,11,11,0,3,24.52,1.0,0,0,0,0,0,True,0.0
instance_00112,19,14,14,0,5,27.57,1.0,0,0,0,0,0,True,0.0
instance_00114,25,17,18,1,7,125.94,1.0,0,0,0,0,0,True,0.0
instance_00115,19,15,15,0,4,27.57,1.0,0,0,0,0,0,True,0.0
instance_00116,16,12,12,0,4,17.04,1.0,0,0,0,0,0,True,0.0
instance_00117,21,15,15,0,6,81.42999999999999,1.0,0,0,0,0,0,True,0.0
instance_00118,22,20,21,1,1,0.0,1.0,0,0,0,0,0,True,0.0
instance_00120,23,17,17,0,6,8.52,1.0,0,0,0,0,0,True,0.0
instance_00121,15,13,13,0,2,0.0,1.0,0,0,0,0,0,True,0.0
instance_00122,14,10,11,1,3,16.0,1.0,0,0,0,0,0,True,0.0
instance_00123,29,15,16,1,13,375.19,1.0,0,0,0,0,0,True,0.0
instance_00124,28,23,24,1,4,75.05,1.0,0,0,0,0,0,True,0.0
