instance_id,task_count,static_type_compatible_vehicle_count,time_dependent_vehicle_count,vehicles_added_by_time_dependence,selected_task_links,internal_deadhead_distance_km,task_service_rate,duplicate_task_assignments,route_type_violations,time_overlap_violations,deadhead_endpoint_violations,missing_selected_link_paths,solver_success,optimality_gap
instance_00018,51,44,45,1,6,38.1,1.0,0,0,0,0,0,True,0.0
instance_00020,41,36,37,1,4,8.52,1.0,0,0,0,0,0,True,0.0
instance_00026,15,11,11,0,4,19.05,1.0,0,0,0,0,0,True,0.0
instance_00055,40,35,35,0,5,149.78,1.0,0,0,0,0,0,True,0.0
instance_00057,50,42,42,0,8,19.05,1.0,0,0,0,0,0,True,0.0
instance_00059,44,39,40,1,4,74.89,1.0,0,0,0,0,0,True,0.0
instance_00061,37,26,26,0,11,194.42000000000002,1.0,0,0,0,0,0,True,0.0
instance_00063,59,49,50,1,9,102.61999999999999,1.0,0,0,0,0,0,True,0.0
instance_00065,49,38,38,0,11,492.99,1.0,0,0,0,0,0,True,0.0
instance_00067,53,42,43,1,10,418.1,1.0,0,0,0,0,0,True,0.0
instance_00069,52,40,41,1,11,134.32,1.0,0,0,0,0,0,True,0.0
instance_00071,65,52,52,0,13,187.18,1.0,0,0,0,0,0,True,0.0
instance_00073,56,44,45,1,11,159.61,1.0,0,0,0,0,0,True,0.0
instance_00074,15,9,9,0,6,132.4,1.0,0,0,0,0,0,True,0.0
instance_00075,33,26,27,1,6,65.67,1.0,0,0,0,0,0,True,0.0
instance_00077,53,42,42,0,11,420.7900000000001,1.0,0,0,0,0,0,True,0.0
instance_00079,65,42,43,1,22,484.21999999999997,1.0,0,0,0,0,0,True,0.0
instance_00081,62,44,44,0,18,1867.9700000000003,1.0,0,0,0,0,0,True,0.0
instance_00083,47,35,37,2,10,124.66,1.0,0,0,0,0,0,True,0.0
instance_00085,49,36,37,1,12,246.52000000000004,1.0,0,0,0,0,0,True,0.0
instance_00087,47,34,35,1,12,351.95,1.0,0,0,0,0,0,True,0.0
instance_00089,34,26,26,0,8,436.62,1.0,0,0,0,0,0,True,0.0
instance_00091,50,37,39,2,11,591.05,1.0,0,0,0,0,0,True,0.0
instance_00093,52,40,40,0,12,116.14,1.0,0,0,0,0,0,True,0.0
instance_00095,54,39,40,1,14,332.83,1.0,0,0,0,0,0,True,0.0
instance_00097,43,34,34,0,9,484.47,1.0,0,0,0,0,0,True,0.0
instance_00099,43,39,39,0,4,19.05,1.0,0,0,0,0,0,True,0.0
instance_00101,59,47,48,1,11,239.06,1.0,0,0,0,0,0,True,0.0
instance_00103,40,33,33,0,7,97.09,1.0,0,0,0,0,0,True,0.0
instance_00112,12,8,8,0,4,19.05,1.0,0,0,0,0,0,True,0.0
instance_00152,41,34,35,1,6,75.05,1.0,0,0,0,0,0,True,0.0
instance_00154,38,30,31,1,7,123.50999999999999,1.0,0,0,0,0,0,True,0.0
instance_00156,44,35,35,0,9,410.89,1.0,0,0,0,0,0,True,0.0
instance_00158,35,30,30,0,5,173.11,1.0,0,0,0,0,0,True,0.0
instance_00160,40,31,31,0,9,643.51,1.0,0,0,0,0,0,True,0.0
instance_00162,44,36,37,1,7,277.95,1.0,0,0,0,0,0,True,0.0
instance_00164,51,43,43,0,8,372.05000000000007,1.0,0,0,0,0,0,True,0.0
instance_00166,45,34,35,1,10,483.84,1.0,0,0,0,0,0,True,0.0
instance_00168,47,35,35,0,12,1128.81,1.0,0,0,0,0,0,True,0.0
instance_00170,42,32,32,0,10,1097.92,1.0,0,0,0,0,0,True,0.0
instance_00172,41,31,32,1,9,105.60999999999999,1.0,0,0,0,0,0,True,0.0
instance_00174,35,26,26,0,9,652.86,1.0,0,0,0,0,0,True,0.0
instance_00176,27,16,16,0,11,1205.75,1.0,0,0,0,0,0,True,0.0
instance_00178,16,12,12,0,4,163.12,1.0,0,0,0,0,0,True,0.0
instance_00180,13,7,7,0,6,270.55,1.0,0,0,0,0,0,True,0.0
instance_00182,18,11,11,0,7,711.2599999999999,1.0,0,0,0,0,0,True,0.0
instance_00184,13,9,9,0,4,129.02,1.0,0,0,0,0,0,True,0.0
instance_00186,15,10,10,0,5,46.620000000000005,1.0,0,0,0,0,0,True,0.0
instance_00202,14,9,9,0,5,81.42999999999999,1.0,0,0,0,0,0,True,0.0
instance_00208,14,9,9,0,5,62.379999999999995,1.0,0,0,0,0,0,True,0.0
instance_00214,22,10,10,0,12,639.75,1.0,0,0,0,0,0,True,0.0
instance_00216,17,11,13,2,4,75.05,1.0,0,0,0,0,0,True,0.0
