instance_id,task_count,basic_vrp_vehicle_count,type_compatible_vehicle_count,vehicles_added_by_type_compatibility,selected_task_links,internal_deadhead_distance_km,task_service_rate,duplicate_task_assignments,route_type_violations,solver_success,optimality_gap
instance_00018,51,43,44,1,7,57.150000000000006,1.0,0,0,True,0.0
instance_00020,41,36,36,0,5,27.57,1.0,0,0,True,0.0
instance_00026,15,11,11,0,4,19.05,1.0,0,0,True,0.0
instance_00055,40,34,35,1,5,149.78,1.0,0,0,True,0.0
instance_00057,50,40,42,2,8,19.05,1.0,0,0,True,0.0
instance_00059,44,38,39,1,5,93.94,1.0,0,0,True,0.0
instance_00061,37,25,26,1,11,194.42000000000002,1.0,0,0,True,0.0
instance_00063,59,48,49,1,10,121.67,1.0,0,0,True,0.0
instance_00065,49,36,38,2,11,492.99,1.0,0,0,True,0.0
instance_00067,53,40,42,2,11,495.27000000000004,1.0,0,0,True,0.0
instance_00069,52,37,40,3,12,297.44000000000005,1.0,0,0,True,0.0
instance_00071,65,50,52,2,13,187.18,1.0,0,0,True,0.0
instance_00073,56,41,44,3,12,178.66000000000003,1.0,0,0,True,0.0
instance_00074,15,9,9,0,6,132.4,1.0,0,0,True,0.0
instance_00075,33,25,26,1,7,140.63,1.0,0,0,True,0.0
instance_00077,53,41,42,1,11,420.7900000000001,1.0,0,0,True,0.0
instance_00079,65,41,42,1,23,647.3399999999999,1.0,0,0,True,0.0
instance_00081,62,40,44,4,18,1867.97,1.0,0,0,True,0.0
instance_00083,47,34,35,1,12,279.0,1.0,0,0,True,0.0
instance_00085,49,36,36,0,13,409.64000000000004,1.0,0,0,True,0.0
instance_00087,47,34,34,0,13,482.98,1.0,0,0,True,0.0
instance_00089,34,25,26,1,8,436.62,1.0,0,0,True,0.0
instance_00091,50,36,37,1,13,943.4799999999999,1.0,0,0,True,0.0
instance_00093,52,37,40,3,12,116.13999999999999,1.0,0,0,True,0.0
instance_00095,54,39,39,0,15,410.0,1.0,0,0,True,0.0
instance_00097,43,32,34,2,9,428.63000000000005,1.0,0,0,True,0.0
instance_00099,43,36,39,3,4,19.05,1.0,0,0,True,0.0
instance_00101,59,45,47,2,12,514.32,1.0,0,0,True,0.0
instance_00103,40,30,33,3,7,97.09,1.0,0,0,True,0.0
instance_00112,12,7,8,1,4,19.05,1.0,0,0,True,0.0
instance_00152,41,33,34,1,7,150.10000000000002,1.0,0,0,True,0.0
instance_00154,38,28,30,2,8,273.59,1.0,0,0,True,0.0
instance_00156,44,33,35,2,9,410.89,1.0,0,0,True,0.0
instance_00158,35,25,30,5,5,173.11,1.0,0,0,True,0.0
instance_00160,40,30,31,1,9,512.71,1.0,0,0,True,0.0
instance_00162,44,35,36,1,8,411.12,1.0,0,0,True,0.0
instance_00164,51,42,43,1,8,372.05000000000007,1.0,0,0,True,0.0
instance_00166,45,33,34,1,11,759.0999999999999,1.0,0,0,True,0.0
instance_00168,47,31,35,4,12,928.5799999999999,1.0,0,0,True,0.0
instance_00170,42,30,32,2,10,1097.9199999999998,1.0,0,0,True,0.0
instance_00172,41,28,31,3,10,292.48,1.0,0,0,True,0.0
instance_00174,35,25,26,1,9,652.86,1.0,0,0,True,0.0
instance_00176,27,14,16,2,11,1007.6600000000001,1.0,0,0,True,0.0
instance_00178,16,10,12,2,4,163.12,1.0,0,0,True,0.0
instance_00180,13,7,7,0,6,270.55,1.0,0,0,True,0.0
instance_00182,18,10,11,1,7,543.12,1.0,0,0,True,0.0
instance_00184,13,8,9,1,4,129.02,1.0,0,0,True,0.0
instance_00186,15,9,10,1,5,46.620000000000005,1.0,0,0,True,0.0
instance_00202,14,7,9,2,5,81.42999999999999,1.0,0,0,True,0.0
instance_00208,14,9,9,0,5,62.379999999999995,1.0,0,0,True,0.0
instance_00214,22,9,10,1,12,573.3799999999999,1.0,0,0,True,0.0
instance_00216,17,11,11,0,6,160.74000000000004,1.0,0,0,True,0.0
