instance_id,task_count,independent_vehicle_count,vrp_vehicle_count,vehicle_reduction,vehicle_reduction_rate,loaded_distance_km,vrp_internal_deadhead_distance_km,vrp_total_observed_scope_distance_km,average_tasks_per_vrp_vehicle,task_service_rate,time_overlap_violations,duplicate_task_assignments,missing_task_assignments,missing_selected_link_paths
instance_00001,10,10,6,4,0.4,2625.98,0.0,2625.98,1.6666666666666667,1.0,0,0,0,0
instance_00004,15,15,10,5,0.3333333333333333,1392.77,49.4,1442.17,1.5,1.0,0,0,0,0
instance_00005,21,21,16,5,0.23809523809523808,2877.15,0.0,2877.15,1.3125,1.0,0,0,0,0
instance_00006,23,23,15,8,0.34782608695652173,5264.9,309.17,5574.07,1.5333333333333334,1.0,0,0,0,0
instance_00007,17,17,14,3,0.17647058823529413,2027.6699999999998,66.37,2094.04,1.2142857142857142,1.0,0,0,0,0
instance_00009,18,18,11,7,0.3888888888888889,5096.010000000001,415.66999999999996,5511.680000000001,1.6363636363636365,1.0,0,0,0,0
instance_00010,274,274,239,35,0.12773722627737227,25924.739999999998,185.45000000000002,26110.19,1.1464435146443515,1.0,0,0,0,0
instance_00011,185,185,151,34,0.1837837837837838,19633.870000000003,626.3299999999999,20260.200000000004,1.2251655629139073,1.0,0,0,0,0
instance_00012,21,21,15,6,0.2857142857142857,1424.9199999999998,155.4,1580.32,1.4,1.0,0,0,0,0
instance_00013,27,27,18,9,0.3333333333333333,5160.38,137.93,5298.31,1.5,1.0,0,0,0,0
instance_00014,26,26,18,8,0.3076923076923077,5539.169999999999,35.05,5574.219999999999,1.4444444444444444,1.0,0,0,0,0
instance_00015,17,17,13,4,0.23529411764705882,2401.6600000000003,0.0,2401.6600000000003,1.3076923076923077,1.0,0,0,0,0
instance_00016,19,19,12,7,0.3684210526315789,1574.14,0.0,1574.14,1.5833333333333333,1.0,0,0,0,0
instance_00017,20,20,16,4,0.2,1474.9200000000003,0.0,1474.9200000000003,1.25,1.0,0,0,0,0
instance_00018,19,19,15,4,0.21052631578947367,5566.349999999999,98.74,5665.089999999999,1.2666666666666666,1.0,0,0,0,0
instance_00019,16,16,11,5,0.3125,1913.3799999999999,0.0,1913.3799999999999,1.4545454545454546,1.0,0,0,0,0
instance_00020,11,11,5,6,0.5454545454545454,1792.0700000000002,0.0,1792.0700000000002,2.2,1.0,0,0,0,0
instance_00033,20,20,17,3,0.15,5294.83,0.0,5294.83,1.1764705882352942,1.0,0,0,0,0
instance_00034,123,123,100,23,0.18699186991869918,14986.620000000003,350.2,15336.820000000003,1.23,1.0,0,0,0,0
instance_00035,192,192,154,38,0.19791666666666666,22383.71,117.58,22501.29,1.2467532467532467,1.0,0,0,0,0
instance_00037,154,154,122,32,0.2077922077922078,20101.5,1062.79,21164.29,1.2622950819672132,1.0,0,0,0,0
instance_00038,129,129,93,36,0.27906976744186046,13668.89,386.81,14055.699999999999,1.3870967741935485,1.0,0,0,0,0
instance_00039,157,157,113,44,0.2802547770700637,19995.09,1614.12,21609.21,1.3893805309734513,1.0,0,0,0,0
instance_00040,164,164,123,41,0.25,16356.09,682.64,17038.73,1.3333333333333333,1.0,0,0,0,0
instance_00041,153,153,119,34,0.2222222222222222,19455.7,955.77,20411.47,1.2857142857142858,1.0,0,0,0,0
instance_00042,180,180,134,46,0.25555555555555554,25634.119999999995,1238.48,26872.599999999995,1.3432835820895523,1.0,0,0,0,0
instance_00043,180,180,140,40,0.2222222222222222,26924.97,862.1600000000001,27787.13,1.2857142857142858,1.0,0,0,0,0
instance_00044,157,157,115,42,0.267515923566879,20251.6,801.14,21052.739999999998,1.3652173913043477,1.0,0,0,0,0
instance_00045,123,123,96,27,0.21951219512195122,14418.46,898.9200000000001,15317.38,1.28125,1.0,0,0,0,0
instance_00046,152,152,116,36,0.23684210526315788,19662.42,425.42,20087.839999999997,1.3103448275862069,1.0,0,0,0,0
instance_00047,153,153,104,49,0.3202614379084967,22310.800000000003,450.95,22761.750000000004,1.4711538461538463,1.0,0,0,0,0
instance_00048,166,166,120,46,0.27710843373493976,18119.760000000002,1390.4199999999998,19510.18,1.3833333333333333,1.0,0,0,0,0
instance_00049,132,132,93,39,0.29545454545454547,13865.399999999998,313.59000000000003,14178.989999999998,1.4193548387096775,1.0,0,0,0,0
instance_00050,149,149,114,35,0.2348993288590604,16712.67,1107.52,17820.19,1.3070175438596492,1.0,0,0,0,0
instance_00051,125,125,89,36,0.288,18832.01,671.8,19503.809999999998,1.404494382022472,1.0,0,0,0,0
instance_00052,114,114,79,35,0.30701754385964913,16294.08,380.65,16674.73,1.4430379746835442,1.0,0,0,0,0
instance_00053,147,147,115,32,0.21768707482993196,22013.559999999998,581.68,22595.239999999998,1.2782608695652173,1.0,0,0,0,0
instance_00054,132,132,93,39,0.29545454545454547,19066.86,1223.41,20290.27,1.4193548387096775,1.0,0,0,0,0
instance_00055,136,136,97,39,0.2867647058823529,21460.22,592.03,22052.25,1.402061855670103,1.0,0,0,0,0
instance_00056,128,128,101,27,0.2109375,17841.12,834.54,18675.66,1.2673267326732673,1.0,0,0,0,0
instance_00057,128,128,105,23,0.1796875,23629.83,469.12,24098.95,1.2190476190476192,1.0,0,0,0,0
instance_00058,139,139,107,32,0.2302158273381295,21762.029999999995,703.48,22465.509999999995,1.2990654205607477,1.0,0,0,0,0
instance_00059,123,123,92,31,0.25203252032520324,24026.02,667.8499999999999,24693.87,1.3369565217391304,1.0,0,0,0,0
instance_00060,46,46,40,6,0.13043478260869565,7996.15,71.81,8067.96,1.15,1.0,0,0,0,0
instance_00062,10,10,7,3,0.3,809.8399999999999,16.0,825.8399999999999,1.4285714285714286,1.0,0,0,0,0
instance_00063,25,25,17,8,0.32,4787.28,515.4399999999999,5302.719999999999,1.4705882352941178,1.0,0,0,0,0
instance_00064,22,22,13,9,0.4090909090909091,2685.8199999999997,0.0,2685.8199999999997,1.6923076923076923,1.0,0,0,0,0
instance_00069,15,15,11,4,0.26666666666666666,5750.8099999999995,103.0,5853.8099999999995,1.3636363636363635,1.0,0,0,0,0
instance_00071,19,19,13,6,0.3157894736842105,4900.839999999999,27.57,4928.409999999999,1.4615384615384615,1.0,0,0,0,0
instance_00074,17,17,14,3,0.17647058823529413,1147.79,0.0,1147.79,1.2142857142857142,1.0,0,0,0,0
instance_00075,18,18,12,6,0.3333333333333333,4492.66,8.52,4501.18,1.5,1.0,0,0,0,0
instance_00076,16,16,10,6,0.375,1520.35,72.91,1593.26,1.6,1.0,0,0,0,0
instance_00077,19,19,12,7,0.3684210526315789,1301.42,292.18999999999994,1593.6100000000001,1.5833333333333333,1.0,0,0,0,0
instance_00079,11,11,4,7,0.6363636363636364,1313.38,279.36,1592.7400000000002,2.75,1.0,0,0,0,0
instance_00080,20,20,15,5,0.25,1536.91,64.39,1601.3000000000002,1.3333333333333333,1.0,0,0,0,0
instance_00081,18,18,12,6,0.3333333333333333,3778.85,380.24,4159.09,1.5,1.0,0,0,0,0
instance_00084,14,14,10,4,0.2857142857142857,2454.01,0.0,2454.01,1.4,1.0,0,0,0,0
instance_00085,43,43,32,11,0.2558139534883721,9197.17,605.52,9802.69,1.34375,1.0,0,0,0,0
instance_00086,108,108,85,23,0.21296296296296297,15780.150000000001,401.46,16181.61,1.2705882352941176,1.0,0,0,0,0
instance_00087,105,105,81,24,0.22857142857142856,18357.670000000002,761.23,19118.9,1.2962962962962963,1.0,0,0,0,0
instance_00089,141,141,103,38,0.2695035460992908,16567.04,547.09,17114.13,1.3689320388349515,1.0,0,0,0,0
instance_00091,115,115,85,30,0.2608695652173913,15711.749999999998,540.26,16252.009999999998,1.3529411764705883,1.0,0,0,0,0
instance_00093,109,109,81,28,0.25688073394495414,16199.0,818.28,17017.28,1.345679012345679,1.0,0,0,0,0
instance_00094,132,132,105,27,0.20454545454545456,19692.14,288.32000000000005,19980.46,1.2571428571428571,1.0,0,0,0,0
instance_00095,144,144,112,32,0.2222222222222222,16663.229999999996,438.06,17101.289999999997,1.2857142857142858,1.0,0,0,0,0
instance_00096,112,112,83,29,0.25892857142857145,20389.309999999998,805.3599999999999,21194.67,1.3493975903614457,1.0,0,0,0,0
instance_00097,112,112,78,34,0.30357142857142855,12880.779999999999,405.1,13285.88,1.435897435897436,1.0,0,0,0,0
instance_00098,104,104,75,29,0.27884615384615385,11660.9,370.41,12031.31,1.3866666666666667,1.0,0,0,0,0
instance_00099,95,95,68,27,0.28421052631578947,13479.630000000003,509.39,13989.020000000002,1.3970588235294117,1.0,0,0,0,0
instance_00100,93,93,71,22,0.23655913978494625,13156.79,982.65,14139.44,1.3098591549295775,1.0,0,0,0,0
instance_00102,39,39,20,19,0.48717948717948717,6040.78,341.33,6382.11,1.95,1.0,0,0,0,0
instance_00103,33,33,22,11,0.3333333333333333,5895.93,331.29,6227.22,1.5,1.0,0,0,0,0
instance_00104,33,33,18,15,0.45454545454545453,5489.3099999999995,116.68,5605.99,1.8333333333333333,1.0,0,0,0,0
instance_00105,29,29,17,12,0.41379310344827586,2884.6900000000005,46.61999999999999,2931.3100000000004,1.7058823529411764,1.0,0,0,0,0
instance_00106,18,18,11,7,0.3888888888888889,2928.23,24.52,2952.75,1.6363636363636365,1.0,0,0,0,0
instance_00107,21,21,12,9,0.42857142857142855,6222.88,27.57,6250.45,1.75,1.0,0,0,0,0
instance_00108,22,22,14,8,0.36363636363636365,2516.3299999999995,8.52,2524.8499999999995,1.5714285714285714,1.0,0,0,0,0
instance_00109,18,18,15,3,0.16666666666666666,3653.5800000000004,24.52,3678.1000000000004,1.2,1.0,0,0,0,0
instance_00110,22,22,15,7,0.3181818181818182,1553.78,8.52,1562.3,1.4666666666666666,1.0,0,0,0,0
instance_00111,15,15,11,4,0.26666666666666666,1246.11,114.74,1360.85,1.3636363636363635,1.0,0,0,0,0
instance_00112,31,31,19,12,0.3870967741935484,4557.5599999999995,107.05,4664.61,1.631578947368421,1.0,0,0,0,0
instance_00113,23,23,14,9,0.391304347826087,1682.28,274.91999999999996,1957.1999999999998,1.6428571428571428,1.0,0,0,0,0
instance_00114,17,17,10,7,0.4117647058823529,5848.130000000001,17.04,5865.170000000001,1.7,1.0,0,0,0,0
instance_00115,22,22,13,9,0.4090909090909091,2896.7400000000002,81.42999999999999,2978.17,1.6923076923076923,1.0,0,0,0,0
instance_00116,23,23,19,4,0.17391304347826086,5269.65,0.0,5269.65,1.2105263157894737,1.0,0,0,0,0
instance_00118,26,26,15,11,0.4230769230769231,2971.5299999999997,42.67,3014.2,1.7333333333333334,1.0,0,0,0,0
instance_00119,20,20,13,7,0.35,1962.2999999999997,0.0,1962.2999999999997,1.5384615384615385,1.0,0,0,0,0
instance_00120,16,16,9,7,0.4375,2366.0099999999998,96.42999999999999,2462.4399999999996,1.7777777777777777,1.0,0,0,0,0
instance_00121,32,32,15,17,0.53125,4152.03,249.59,4401.62,2.1333333333333333,1.0,0,0,0,0
instance_00122,34,34,24,10,0.29411764705882354,3989.0599999999995,83.57,4072.6299999999997,1.4166666666666667,1.0,0,0,0,0
