instance_id,task_count,p50_time_dependent_vehicle_count,p90_robust_vehicle_count,vehicles_added_by_p90_robustness,selected_task_links,internal_deadhead_distance_km,task_service_rate,duplicate_task_assignments,route_type_violations,time_overlap_violations,deadhead_endpoint_violations,missing_selected_link_paths,solver_success,optimality_gap
instance_00001,10,7,7,0,3,0.0,1.0,0,0,0,0,0,True,0.0
instance_00004,15,11,11,0,4,49.4,1.0,0,0,0,0,0,True,0.0
instance_00005,21,16,16,0,5,19.05,1.0,0,0,0,0,0,True,0.0
instance_00006,23,16,16,0,7,105.5,1.0,0,0,0,0,0,True,0.0
instance_00007,17,14,14,0,3,66.37,1.0,0,0,0,0,0,True,0.0
instance_00009,18,12,12,0,6,283.67,1.0,0,0,0,0,0,True,0.0
instance_00010,274,246,249,3,25,208.79000000000002,1.0,0,0,0,0,0,True,0.0
instance_00011,185,161,161,0,24,814.7,1.0,0,0,0,0,0,True,0.0
instance_00012,21,17,17,0,4,167.4,1.0,0,0,0,0,0,True,0.0
instance_00013,27,21,22,1,5,82.53,1.0,0,0,0,0,0,True,0.0
instance_00014,26,19,20,1,6,16.0,1.0,0,0,0,0,0,True,0.0
instance_00015,17,14,14,0,3,0.0,1.0,0,0,0,0,0,True,0.0
instance_00016,19,17,17,0,2,0.0,1.0,0,0,0,0,0,True,0.0
instance_00017,20,17,17,0,3,0.0,1.0,0,0,0,0,0,True,0.0
instance_00018,19,16,16,0,3,117.79,1.0,0,0,0,0,0,True,0.0
instance_00019,16,12,12,0,4,130.8,1.0,0,0,0,0,0,True,0.0
instance_00020,11,7,7,0,4,65.95,1.0,0,0,0,0,0,True,0.0
instance_00033,20,19,19,0,1,0.0,1.0,0,0,0,0,0,True,0.0
instance_00034,123,106,106,0,17,719.0099999999999,1.0,0,0,0,0,0,True,0.0
instance_00035,192,165,166,1,26,310.72,1.0,0,0,0,0,0,True,0.0
instance_00037,154,132,134,2,20,539.4100000000001,1.0,0,0,0,0,0,True,0.0
instance_00038,129,100,101,1,28,860.6800000000001,1.0,0,0,0,0,0,True,0.0
instance_00039,157,122,124,2,33,837.2800000000001,1.0,0,0,0,0,0,True,0.0
instance_00040,164,130,132,2,32,752.5300000000001,1.0,0,0,0,0,0,True,0.0
instance_00041,153,126,129,3,24,517.45,1.0,0,0,0,0,0,True,0.0
instance_00042,180,143,146,3,34,595.7900000000001,1.0,0,0,0,0,0,True,0.0
instance_00043,180,152,153,1,27,583.8000000000001,1.0,0,0,0,0,0,True,0.0
instance_00044,157,123,124,1,33,974.0799999999999,1.0,0,0,0,0,0,True,0.0
instance_00045,123,100,103,3,20,789.7600000000001,1.0,0,0,0,0,0,True,0.0
instance_00046,152,123,125,2,27,502.59000000000003,1.0,0,0,0,0,0,True,0.0
instance_00047,153,112,116,4,37,839.4999999999999,1.0,0,0,0,0,0,True,0.0
instance_00048,166,131,132,1,34,1310.9099999999999,1.0,0,0,0,0,0,True,0.0
instance_00049,132,100,102,2,30,297.59000000000003,1.0,0,0,0,0,0,True,0.0
instance_00050,149,120,123,3,26,1016.52,1.0,0,0,0,0,0,True,0.0
instance_00051,125,93,97,4,28,825.3299999999999,1.0,0,0,0,0,0,True,0.0
instance_00052,114,90,90,0,24,759.9599999999999,1.0,0,0,0,0,0,True,0.0
instance_00053,147,121,122,1,25,714.69,1.0,0,0,0,0,0,True,0.0
instance_00054,132,101,106,5,26,508.77,1.0,0,0,0,0,0,True,0.0
instance_00055,136,102,105,3,31,1168.59,1.0,0,0,0,0,0,True,0.0
instance_00056,128,105,106,1,22,999.42,1.0,0,0,0,0,0,True,0.0
instance_00057,128,108,109,1,19,691.84,1.0,0,0,0,0,0,True,0.0
instance_00058,139,114,114,0,25,940.1600000000001,1.0,0,0,0,0,0,True,0.0
instance_00059,123,100,103,3,20,551.63,1.0,0,0,0,0,0,True,0.0
instance_00060,46,43,43,0,3,69.78,1.0,0,0,0,0,0,True,0.0
instance_00062,10,7,7,0,3,16.0,1.0,0,0,0,0,0,True,0.0
instance_00063,25,18,18,0,7,406.04,1.0,0,0,0,0,0,True,0.0
instance_00064,22,17,17,0,5,19.05,1.0,0,0,0,0,0,True,0.0
