instance_id,task_count,static_type_compatible_vehicle_count,time_dependent_vehicle_count,vehicles_added_by_time_dependence,selected_task_links,internal_deadhead_distance_km,task_service_rate,duplicate_task_assignments,route_type_violations,solver_success,optimality_gap
instance_00001,10,7,7,0,3,0.0,1.0,0,0,True,0.0
instance_00004,15,11,11,0,4,49.4,1.0,0,0,True,0.0
instance_00005,21,16,16,0,5,19.05,1.0,0,0,True,0.0
instance_00006,23,16,16,0,7,105.5,1.0,0,0,True,0.0
instance_00007,17,14,14,0,3,66.37,1.0,0,0,True,0.0
instance_00009,18,12,12,0,6,283.67,1.0,0,0,True,0.0
instance_00010,274,245,246,1,28,322.29,1.0,0,0,True,0.0
instance_00011,185,160,161,1,24,814.7,1.0,0,0,True,0.0
instance_00012,21,17,17,0,4,167.4,1.0,0,0,True,0.0
instance_00013,27,21,21,0,6,151.53,1.0,0,0,True,0.0
instance_00014,26,19,19,0,7,35.05,1.0,0,0,True,0.0
instance_00015,17,14,14,0,3,0.0,1.0,0,0,True,0.0
instance_00016,19,17,17,0,2,0.0,1.0,0,0,True,0.0
instance_00017,20,17,17,0,3,0.0,1.0,0,0,True,0.0
instance_00018,19,16,16,0,3,117.79,1.0,0,0,True,0.0
instance_00019,16,12,12,0,4,130.8,1.0,0,0,True,0.0
instance_00020,11,7,7,0,4,65.95,1.0,0,0,True,0.0
instance_00033,20,19,19,0,1,0.0,1.0,0,0,True,0.0
instance_00034,123,105,106,1,17,719.0099999999999,1.0,0,0,True,0.0
instance_00035,192,165,165,0,27,329.77,1.0,0,0,True,0.0
instance_00037,154,131,132,1,22,1307.35,1.0,0,0,True,0.0
instance_00038,129,100,100,0,29,879.7300000000001,1.0,0,0,True,0.0
instance_00039,157,121,122,1,35,1549.2199999999998,1.0,0,0,True,0.0
instance_00040,164,130,130,0,34,1176.66,1.0,0,0,True,0.0
instance_00041,153,126,126,0,27,1208.61,1.0,0,0,True,0.0
instance_00042,180,142,143,1,37,1670.92,1.0,0,0,True,0.0
instance_00043,180,152,152,0,28,602.8499999999999,1.0,0,0,True,0.0
instance_00044,157,122,123,1,34,1102.48,1.0,0,0,True,0.0
instance_00045,123,99,100,1,23,1159.0800000000002,1.0,0,0,True,0.0
instance_00046,152,123,123,0,29,803.89,1.0,0,0,True,0.0
instance_00047,153,111,112,1,41,1161.8600000000001,1.0,0,0,True,0.0
instance_00048,166,130,131,1,35,1966.14,1.0,0,0,True,0.0
