instance_id,task_count,basic_vrp_vehicle_count,type_compatible_vehicle_count,vehicles_added_by_type_compatibility,selected_task_links,internal_deadhead_distance_km,task_service_rate,duplicate_task_assignments,route_type_violations,time_overlap_violations,deadhead_endpoint_violations,missing_selected_link_paths,solver_success,optimality_gap
instance_00001,10,6,7,1,3,0.0,1.0,0,0,0,0,0,True,0.0
instance_00004,15,10,11,1,4,49.4,1.0,0,0,0,0,0,True,0.0
instance_00005,21,16,16,0,5,19.05,1.0,0,0,0,0,0,True,0.0
instance_00006,23,15,16,1,7,105.5,1.0,0,0,0,0,0,True,0.0
instance_00007,17,14,14,0,3,66.37,1.0,0,0,0,0,0,True,0.0
instance_00009,18,11,12,1,6,283.67,1.0,0,0,0,0,0,True,0.0
instance_00010,274,239,245,6,29,341.34000000000003,1.0,0,0,0,0,0,True,0.0
instance_00011,185,151,160,9,25,833.75,1.0,0,0,0,0,0,True,0.0
instance_00012,21,15,17,2,4,167.4,1.0,0,0,0,0,0,True,0.0
instance_00013,27,18,21,3,6,151.53,1.0,0,0,0,0,0,True,0.0
instance_00014,26,18,19,1,7,35.05,1.0,0,0,0,0,0,True,0.0
instance_00015,17,13,14,1,3,0.0,1.0,0,0,0,0,0,True,0.0
instance_00016,19,12,17,5,2,0.0,1.0,0,0,0,0,0,True,0.0
instance_00017,20,16,17,1,3,0.0,1.0,0,0,0,0,0,True,0.0
instance_00018,19,15,16,1,3,117.79,1.0,0,0,0,0,0,True,0.0
instance_00019,16,11,12,1,4,130.8,1.0,0,0,0,0,0,True,0.0
instance_00020,11,5,7,2,4,65.95,1.0,0,0,0,0,0,True,0.0
instance_00033,20,17,19,2,1,0.0,1.0,0,0,0,0,0,True,0.0
instance_00034,123,100,105,5,18,852.1800000000001,1.0,0,0,0,0,0,True,0.0
instance_00035,192,154,165,11,27,329.77,1.0,0,0,0,0,0,True,0.0
instance_00037,154,122,131,9,23,1326.3999999999999,1.0,0,0,0,0,0,True,0.0
instance_00038,129,93,100,7,29,879.7300000000001,1.0,0,0,0,0,0,True,0.0
instance_00039,157,113,121,8,36,1568.2699999999998,1.0,0,0,0,0,0,True,0.0
instance_00040,164,123,130,7,34,1176.66,1.0,0,0,0,0,0,True,0.0
instance_00041,153,119,126,7,27,1122.66,1.0,0,0,0,0,0,True,0.0
instance_00042,180,134,142,8,38,1912.57,1.0,0,0,0,0,0,True,0.0
instance_00043,180,140,152,12,28,602.8499999999999,1.0,0,0,0,0,0,True,0.0
instance_00044,157,115,122,7,35,1121.53,1.0,0,0,0,0,0,True,0.0
instance_00045,123,96,99,3,24,1234.04,1.0,0,0,0,0,0,True,0.0
instance_00046,152,116,123,7,29,803.89,1.0,0,0,0,0,0,True,0.0
instance_00047,153,104,111,7,42,1244.2,1.0,0,0,0,0,0,True,0.0
instance_00048,166,120,130,10,36,2048.4800000000005,1.0,0,0,0,0,0,True,0.0
instance_00049,132,93,98,5,34,706.94,1.0,0,0,0,0,0,True,0.0
instance_00050,149,114,120,6,29,1085.86,1.0,0,0,0,0,0,True,0.0
instance_00051,125,89,93,4,32,992.13,1.0,0,0,0,0,0,True,0.0
instance_00052,114,79,90,11,24,661.22,1.0,0,0,0,0,0,True,0.0
instance_00053,147,115,119,4,28,956.5399999999998,1.0,0,0,0,0,0,True,0.0
instance_00054,132,93,101,8,31,1445.84,1.0,0,0,0,0,0,True,0.0
instance_00055,136,97,101,4,35,1466.74,1.0,0,0,0,0,0,True,0.0
instance_00056,128,101,105,4,23,817.1399999999999,1.0,0,0,0,0,0,True,0.0
instance_00057,128,105,108,3,20,766.8,1.0,0,0,0,0,0,True,0.0
instance_00058,139,107,114,7,25,576.8,1.0,0,0,0,0,0,True,0.0
instance_00059,123,92,100,8,23,1319.7800000000002,1.0,0,0,0,0,0,True,0.0
instance_00060,46,40,43,3,3,69.78,1.0,0,0,0,0,0,True,0.0
