instance_id,component_id,task_count,linkable_task_count,candidate_link_count,origin_site_count,destination_site_count,historical_vehicle_count,qualifies_for_vrp
instance_00001,component_0001,10,10,8,7,9,10,True
instance_00002,component_0001,8,3,2,6,8,8,False
instance_00003,component_0001,11,6,4,7,11,11,False
instance_00004,component_0001,15,13,13,11,13,15,True
instance_00005,component_0001,21,13,21,16,19,20,True
instance_00006,component_0001,23,14,34,13,20,23,True
instance_00007,component_0001,17,11,13,10,16,17,True
instance_00008,component_0001,15,9,12,10,15,15,False
instance_00009,component_0001,18,14,34,10,16,18,True
instance_00010,component_0001,274,227,426,39,248,271,True
instance_00011,component_0001,185,99,201,41,170,184,True
instance_00012,component_0001,21,15,17,14,19,21,True
instance_00013,component_0001,27,19,33,19,24,27,True
instance_00014,component_0001,26,20,29,16,25,25,True
instance_00015,component_0001,17,14,15,11,16,16,True
instance_00016,component_0001,19,16,20,13,19,18,True
instance_00017,component_0001,20,11,8,12,19,20,True
instance_00018,component_0001,19,15,20,11,18,19,True
instance_00019,component_0001,16,11,21,7,12,16,True
instance_00020,component_0001,11,10,21,8,11,11,True
instance_00021,component_0001,7,2,1,6,7,7,False
instance_00022,component_0001,6,4,4,6,6,6,False
instance_00023,component_0001,5,2,1,5,5,5,False
instance_00024,component_0001,8,2,1,7,8,8,False
instance_00025,component_0001,5,2,1,5,5,5,False
instance_00026,component_0001,4,2,1,4,4,4,False
instance_00027,component_0001,6,5,9,5,6,6,False
instance_00028,component_0001,9,8,11,9,9,8,False
instance_00029,component_0001,11,8,25,6,7,9,False
instance_00030,component_0001,5,2,1,4,5,5,False
instance_00031,component_0001,9,7,8,6,8,9,False
instance_00032,component_0001,12,8,11,9,11,10,False
instance_00033,component_0001,20,12,9,8,20,20,True
instance_00034,component_0001,123,98,146,30,116,122,True
instance_00035,component_0001,192,147,324,37,152,182,True
instance_00036,component_0002,1,0,0,1,1,1,False
instance_00037,component_0001,154,118,227,37,126,152,True
instance_00038,component_0001,129,105,491,33,97,118,True
instance_00039,component_0001,157,130,612,37,114,151,True
instance_00040,component_0001,164,133,402,41,137,157,True
instance_00041,component_0001,153,118,387,30,125,147,True
instance_00042,component_0001,180,150,444,42,149,173,True
instance_00043,component_0001,180,147,709,38,140,173,True
instance_00044,component_0001,157,118,464,43,119,147,True
instance_00045,component_0001,123,76,213,32,103,120,True
instance_00046,component_0001,152,128,398,37,126,146,True
instance_00047,component_0001,153,127,988,38,106,140,True
instance_00048,component_0001,166,120,465,37,126,159,True
instance_00049,component_0001,132,104,334,40,106,127,True
instance_00050,component_0001,149,103,296,35,127,142,True
instance_00051,component_0001,125,89,361,39,98,120,True
instance_00052,component_0001,114,98,370,31,88,109,True
instance_00053,component_0001,147,109,356,31,128,141,True
instance_00054,component_0001,132,99,323,36,105,129,True
instance_00055,component_0001,136,106,472,39,108,128,True
instance_00056,component_0001,128,82,196,34,103,124,True
instance_00057,component_0001,128,96,177,30,112,125,True
instance_00058,component_0001,139,101,316,38,110,133,True
instance_00059,component_0001,123,100,224,35,104,118,True
instance_00060,component_0001,46,15,12,21,39,45,True
instance_00061,component_0001,1,0,0,1,1,1,False
instance_00062,component_0001,10,10,11,4,10,10,True
instance_00063,component_0001,25,16,27,13,23,25,True
instance_00064,component_0001,22,19,40,13,18,22,True
instance_00065,component_0001,13,7,4,9,13,13,False
instance_00066,component_0001,12,9,11,10,12,12,False
instance_00067,component_0001,10,6,3,9,10,10,False
instance_00068,component_0001,9,2,1,6,8,9,False
instance_00069,component_0001,15,11,9,8,15,15,True
instance_00070,component_0001,10,4,5,8,9,10,False
instance_00071,component_0001,19,11,15,15,18,18,True
instance_00072,component_0001,10,5,3,7,10,10,False
instance_00073,component_0001,10,8,18,5,8,10,False
instance_00074,component_0001,17,10,19,10,14,17,True
instance_00075,component_0001,18,12,21,13,17,17,True
instance_00076,component_0001,16,11,27,9,13,15,True
instance_00077,component_0001,19,14,31,12,18,18,True
instance_00078,component_0001,15,7,5,9,14,15,False
instance_00079,component_0001,11,10,26,8,8,10,True
instance_00080,component_0001,20,14,21,10,17,20,True
instance_00081,component_0001,18,12,9,10,17,18,True
instance_00082,component_0001,8,7,4,6,8,8,False
instance_00083,component_0001,10,6,7,9,10,9,False
instance_00084,component_0001,14,13,19,6,12,14,True
instance_00085,component_0001,43,25,45,14,37,42,True
instance_00086,component_0001,108,75,204,29,88,105,True
instance_00087,component_0001,105,76,231,26,82,98,True
instance_00088,component_0002,1,0,0,1,1,1,False
instance_00089,component_0001,141,111,354,34,110,136,True
instance_00090,component_0002,1,0,0,1,1,1,False
instance_00091,component_0001,115,93,198,32,91,111,True
instance_00092,component_0002,1,0,0,1,1,1,False
instance_00093,component_0001,109,87,266,32,92,106,True
