instance_id,task_count,static_type_compatible_vehicle_count,time_dependent_vehicle_count,vehicles_added_by_time_dependence,selected_task_links,internal_deadhead_distance_km,task_service_rate,duplicate_task_assignments,route_type_violations,solver_success,optimality_gap
instance_00004,14,10,10,0,4,49.4,1.0,0,0,True,0.0
instance_00005,16,12,12,0,4,84.45,1.0,0,0,True,0.0
instance_00006,21,15,15,0,6,100.45,1.0,0,0,True,0.0
instance_00010,124,112,113,1,11,38.1,1.0,0,0,True,0.0
instance_00012,91,79,80,1,11,400.02,1.0,0,0,True,0.0
instance_00014,15,11,11,0,4,181.4,1.0,0,0,True,0.0
instance_00016,23,18,18,0,5,115.93,1.0,0,0,True,0.0
instance_00017,22,16,16,0,6,35.05,1.0,0,0,True,0.0
instance_00019,15,13,13,0,2,0.0,1.0,0,0,True,0.0
instance_00021,14,12,12,0,2,0.0,1.0,0,0,True,0.0
instance_00037,74,66,66,0,8,149.78,1.0,0,0,True,0.0
instance_00038,107,92,92,0,15,51.05,1.0,0,0,True,0.0
instance_00039,99,89,90,1,9,93.94,1.0,0,0,True,0.0
instance_00040,86,66,66,0,20,269.82,1.0,0,0,True,0.0
instance_00042,105,85,86,1,19,301.42,1.0,0,0,True,0.0
instance_00043,104,83,83,0,21,408.90000000000003,1.0,0,0,True,0.0
instance_00044,100,81,81,0,19,707.0899999999999,1.0,0,0,True,0.0
instance_00045,105,82,84,2,21,241.72,1.0,0,0,True,0.0
instance_00047,121,101,101,0,20,319.18,1.0,0,0,True,0.0
instance_00048,108,85,86,1,22,424.01,1.0,0,0,True,0.0
instance_00049,75,60,61,1,14,318.07000000000005,1.0,0,0,True,0.0
instance_00050,97,79,79,0,18,609.0299999999999,1.0,0,0,True,0.0
instance_00051,105,74,75,1,30,533.2,1.0,0,0,True,0.0
instance_00053,114,85,85,0,29,2131.3800000000006,1.0,0,0,True,0.0
instance_00054,89,67,69,2,20,181.66,1.0,0,0,True,0.0
instance_00055,90,71,72,1,18,394.92,1.0,0,0,True,0.0
instance_00056,83,61,62,1,21,464.26,1.0,0,0,True,0.0
instance_00057,76,59,59,0,17,405.14,1.0,0,0,True,0.0
instance_00058,103,82,84,2,19,723.4499999999999,1.0,0,0,True,0.0
instance_00059,95,75,75,0,20,320.54,1.0,0,0,True,0.0
instance_00060,90,68,69,1,21,689.2499999999999,1.0,0,0,True,0.0
instance_00061,95,80,80,0,15,578.92,1.0,0,0,True,0.0
instance_00062,85,77,77,0,8,19.05,1.0,0,0,True,0.0
instance_00063,92,75,76,1,16,271.06,1.0,0,0,True,0.0
instance_00065,92,79,79,0,13,304.49,1.0,0,0,True,0.0
instance_00068,10,7,7,0,3,16.0,1.0,0,0,True,0.0
instance_00069,19,14,14,0,5,141.42000000000002,1.0,0,0,True,0.0
instance_00070,17,12,12,0,5,19.05,1.0,0,0,True,0.0
instance_00075,13,9,9,0,4,125.4,1.0,0,0,True,0.0
instance_00077,16,10,11,1,5,38.1,1.0,0,0,True,0.0
instance_00081,14,10,11,1,3,19.05,1.0,0,0,True,0.0
instance_00082,15,10,10,0,5,91.96,1.0,0,0,True,0.0
instance_00083,15,10,10,0,5,27.57,1.0,0,0,True,0.0
instance_00085,11,6,6,0,5,126.77,1.0,0,0,True,0.0
instance_00090,11,9,9,0,2,0.0,1.0,0,0,True,0.0
instance_00091,30,25,25,0,5,162.89,1.0,0,0,True,0.0
instance_00092,66,58,58,0,8,75.05,1.0,0,0,True,0.0
instance_00093,76,64,65,1,11,123.35,1.0,0,0,True,0.0
instance_00094,89,70,70,0,19,448.39000000000004,1.0,0,0,True,0.0
instance_00095,71,58,59,1,12,397.33,1.0,0,0,True,0.0
instance_00096,78,64,64,0,14,640.6299999999999,1.0,0,0,True,0.0
instance_00097,85,73,73,0,12,353.0,1.0,0,0,True,0.0
instance_00098,94,79,79,0,15,654.5500000000001,1.0,0,0,True,0.0
instance_00099,73,60,61,1,12,377.12,1.0,0,0,True,0.0
instance_00100,79,63,63,0,16,1027.37,1.0,0,0,True,0.0
instance_00101,67,53,53,0,14,662.26,1.0,0,0,True,0.0
instance_00102,62,49,50,1,12,121.61,1.0,0,0,True,0.0
instance_00103,67,55,55,0,12,591.15,1.0,0,0,True,0.0
instance_00104,36,22,23,1,13,778.3299999999999,1.0,0,0,True,0.0
instance_00105,26,20,20,0,6,179.12,1.0,0,0,True,0.0
instance_00106,24,15,15,0,9,250.82999999999998,1.0,0,0,True,0.0
instance_00107,23,14,14,0,9,760.66,1.0,0,0,True,0.0
instance_00108,15,11,11,0,4,78.3,1.0,0,0,True,0.0
instance_00109,18,12,12,0,6,46.620000000000005,1.0,0,0,True,0.0
instance_00110,15,10,11,1,4,8.52,1.0,0,0,True,0.0
instance_00111,14,11,11,0,3,24.52,1.0,0,0,True,0.0
instance_00112,19,14,14,0,5,27.57,1.0,0,0,True,0.0
instance_00114,25,17,17,0,8,345.06,1.0,0,0,True,0.0
instance_00115,19,15,15,0,4,27.57,1.0,0,0,True,0.0
instance_00116,16,12,12,0,4,17.04,1.0,0,0,True,0.0
instance_00117,21,15,15,0,6,81.42999999999999,1.0,0,0,True,0.0
instance_00118,22,20,20,0,2,19.05,1.0,0,0,True,0.0
instance_00120,23,17,17,0,6,8.52,1.0,0,0,True,0.0
instance_00121,15,13,13,0,2,0.0,1.0,0,0,True,0.0
instance_00122,14,9,10,1,4,90.96,1.0,0,0,True,0.0
instance_00123,29,14,15,1,14,538.3100000000001,1.0,0,0,True,0.0
instance_00124,28,21,23,2,5,191.05,1.0,0,0,True,0.0
