instance_id,task_count,basic_vrp_vehicle_count,type_compatible_vehicle_count,vehicles_added_by_type_compatibility,selected_task_links,internal_deadhead_distance_km,task_service_rate,duplicate_task_assignments,route_type_violations,solver_success,optimality_gap
instance_00004,14,10,10,0,4,49.4,1.0,0,0,True,0.0
instance_00005,16,12,12,0,4,84.45,1.0,0,0,True,0.0
instance_00006,21,15,15,0,6,100.45,1.0,0,0,True,0.0
instance_00010,124,105,112,7,12,57.150000000000006,1.0,0,0,True,0.0
instance_00012,91,75,79,4,12,419.07,1.0,0,0,True,0.0
instance_00014,15,10,11,1,4,181.4,1.0,0,0,True,0.0
instance_00016,23,16,18,2,5,115.93,1.0,0,0,True,0.0
instance_00017,22,15,16,1,6,35.05,1.0,0,0,True,0.0
instance_00019,15,10,13,3,2,0.0,1.0,0,0,True,0.0
instance_00021,14,11,12,1,2,0.0,1.0,0,0,True,0.0
instance_00037,74,61,66,5,8,149.78,1.0,0,0,True,0.0
instance_00038,107,86,92,6,15,51.05,1.0,0,0,True,0.0
instance_00039,99,83,89,6,10,112.99,1.0,0,0,True,0.0
instance_00040,86,57,66,9,20,269.82,1.0,0,0,True,0.0
instance_00042,105,79,85,6,20,320.47,1.0,0,0,True,0.0
instance_00043,104,76,83,7,21,408.90000000000003,1.0,0,0,True,0.0
instance_00044,100,76,81,5,19,509.0,1.0,0,0,True,0.0
instance_00045,105,75,82,7,23,567.9599999999999,1.0,0,0,True,0.0
instance_00047,121,95,101,6,20,319.18,1.0,0,0,True,0.0
instance_00048,108,78,85,7,23,443.06,1.0,0,0,True,0.0
instance_00049,75,55,60,5,15,393.03000000000003,1.0,0,0,True,0.0
instance_00050,97,75,79,4,18,609.0299999999999,1.0,0,0,True,0.0
instance_00051,105,71,74,3,31,613.51,1.0,0,0,True,0.0
instance_00053,114,78,85,7,29,2131.3800000000006,1.0,0,0,True,0.0
instance_00054,89,63,67,4,22,336.00000000000006,1.0,0,0,True,0.0
instance_00055,90,67,71,4,19,558.04,1.0,0,0,True,0.0
instance_00056,83,57,61,4,22,739.5199999999998,1.0,0,0,True,0.0
instance_00057,76,53,59,6,17,405.14,1.0,0,0,True,0.0
instance_00058,103,78,82,4,21,1075.88,1.0,0,0,True,0.0
instance_00059,95,68,75,7,20,320.5400000000001,1.0,0,0,True,0.0
instance_00060,90,62,68,6,22,766.4199999999998,1.0,0,0,True,0.0
instance_00061,95,76,80,4,15,523.08,1.0,0,0,True,0.0
instance_00062,85,71,77,6,8,19.05,1.0,0,0,True,0.0
instance_00063,92,71,75,4,17,546.32,1.0,0,0,True,0.0
instance_00065,92,72,79,7,13,304.49,1.0,0,0,True,0.0
instance_00068,10,7,7,0,3,16.0,1.0,0,0,True,0.0
instance_00069,19,14,14,0,5,141.42000000000002,1.0,0,0,True,0.0
instance_00070,17,10,12,2,5,19.05,1.0,0,0,True,0.0
instance_00075,13,9,9,0,4,125.4,1.0,0,0,True,0.0
instance_00077,16,10,10,0,6,107.88000000000001,1.0,0,0,True,0.0
instance_00081,14,9,10,1,4,27.57,1.0,0,0,True,0.0
instance_00082,15,9,10,1,5,91.96,1.0,0,0,True,0.0
instance_00083,15,10,10,0,5,27.57,1.0,0,0,True,0.0
instance_00085,11,4,6,2,5,62.379999999999995,1.0,0,0,True,0.0
instance_00090,11,8,9,1,2,0.0,1.0,0,0,True,0.0
instance_00091,30,24,25,1,5,162.89,1.0,0,0,True,0.0
instance_00092,66,54,58,4,8,75.05,1.0,0,0,True,0.0
instance_00093,76,61,64,3,12,142.4,1.0,0,0,True,0.0
instance_00094,89,65,70,5,19,448.39000000000004,1.0,0,0,True,0.0
instance_00095,71,52,58,6,13,560.45,1.0,0,0,True,0.0
instance_00096,78,59,64,5,14,640.6299999999999,1.0,0,0,True,0.0
instance_00097,85,66,73,7,12,267.05,1.0,0,0,True,0.0
