instance_id,component_id,task_count,linkable_task_count,candidate_link_count,origin_site_count,destination_site_count,historical_vehicle_count,qualifies_for_vrp
instance_00001,component_0001,8,8,7,5,7,8,False
instance_00002,component_0001,7,3,2,5,7,7,False
instance_00003,component_0001,9,6,4,6,9,9,False
instance_00004,component_0001,14,11,12,10,12,14,True
instance_00005,component_0001,16,10,19,12,14,15,True
instance_00006,component_0001,21,12,22,11,19,21,True
instance_00007,component_0001,16,7,10,9,15,16,False
instance_00008,component_0001,13,7,11,8,13,13,False
instance_00009,component_0001,15,9,22,8,13,15,False
instance_00010,component_0001,124,90,148,23,104,122,True
instance_00011,component_0002,2,0,0,1,1,2,False
instance_00012,component_0001,91,38,59,21,84,91,True
instance_00013,component_0002,3,0,0,1,1,3,False
instance_00014,component_0001,15,13,16,8,13,15,True
instance_00015,component_0002,1,0,0,1,1,1,False
instance_00016,component_0001,23,16,26,15,20,23,True
instance_00017,component_0001,22,18,26,13,21,22,True
instance_00018,component_0001,13,9,11,9,12,12,False
instance_00019,component_0001,15,12,17,10,15,14,True
instance_00020,component_0001,14,9,7,9,14,14,False
instance_00021,component_0001,14,11,11,9,13,14,True
instance_00022,component_0001,9,8,16,5,7,9,False
instance_00023,component_0001,10,9,17,7,10,10,False
instance_00024,component_0001,6,2,1,5,6,6,False
instance_00025,component_0001,5,4,4,5,5,5,False
instance_00026,component_0001,3,2,1,3,3,3,False
instance_00027,component_0001,8,2,1,7,8,8,False
instance_00028,component_0001,3,2,1,3,3,3,False
instance_00029,component_0001,4,2,1,4,4,4,False
instance_00030,component_0001,6,5,9,5,6,6,False
instance_00031,component_0001,8,7,9,8,8,7,False
instance_00032,component_0001,9,7,18,6,6,7,False
instance_00033,component_0001,3,2,1,3,3,3,False
instance_00034,component_0001,9,7,8,6,8,9,False
instance_00035,component_0001,10,6,10,7,9,8,False
instance_00036,component_0001,16,8,6,7,16,16,False
instance_00037,component_0001,74,49,62,20,67,73,True
instance_00038,component_0001,107,74,132,21,78,102,True
instance_00039,component_0001,99,63,94,26,75,98,True
instance_00040,component_0001,86,72,275,25,62,76,True
instance_00041,component_0002,1,0,0,1,1,1,False
instance_00042,component_0001,105,74,314,24,69,100,True
instance_00043,component_0001,104,78,233,26,79,97,True
instance_00044,component_0001,100,68,233,22,75,95,True
instance_00045,component_0001,105,77,238,25,79,99,True
instance_00046,component_0002,1,0,0,1,1,1,False
instance_00047,component_0001,121,89,439,25,84,115,True
instance_00048,component_0001,108,73,303,28,75,99,True
instance_00049,component_0001,75,49,113,24,58,72,True
instance_00050,component_0001,97,69,229,22,75,92,True
instance_00051,component_0001,105,77,564,25,63,94,True
instance_00052,component_0002,1,0,0,1,1,1,False
instance_00053,component_0001,114,77,308,29,76,107,True
instance_00054,component_0001,89,61,208,25,65,85,True
instance_00055,component_0001,90,53,153,25,70,84,True
instance_00056,component_0001,83,59,219,24,61,79,True
instance_00057,component_0001,76,62,210,20,52,71,True
instance_00058,component_0001,103,74,236,25,85,98,True
instance_00059,component_0001,95,65,199,25,72,92,True
instance_00060,component_0001,90,65,277,24,66,83,True
instance_00061,component_0001,95,56,133,27,72,91,True
instance_00062,component_0001,85,43,63,21,71,82,True
instance_00063,component_0001,92,57,179,26,68,88,True
instance_00064,component_0002,2,0,0,1,1,2,False
instance_00065,component_0001,92,65,148,27,74,87,True
instance_00066,component_0001,31,7,7,13,24,30,False
instance_00067,component_0001,1,0,0,1,1,1,False
instance_00068,component_0001,10,10,11,4,10,10,True
instance_00069,component_0001,19,10,13,9,17,19,True
instance_00070,component_0001,17,14,29,10,15,17,True
instance_00071,component_0001,11,5,3,7,11,11,False
instance_00072,component_0001,12,9,11,10,12,12,False
instance_00073,component_0001,9,6,3,8,9,9,False
instance_00074,component_0001,9,2,1,6,8,9,False
instance_00075,component_0001,13,10,8,7,13,13,True
instance_00076,component_0001,10,4,5,8,9,10,False
instance_00077,component_0001,16,11,15,12,15,15,True
instance_00078,component_0001,7,5,3,5,7,7,False
instance_00079,component_0001,9,7,14,4,7,9,False
instance_00080,component_0001,11,9,17,6,9,11,False
instance_00081,component_0001,14,10,18,9,13,13,True
instance_00082,component_0001,15,11,27,8,12,14,True
instance_00083,component_0001,15,10,22,9,14,14,True
instance_00084,component_0001,13,6,4,8,13,13,False
instance_00085,component_0001,11,10,26,8,8,10,True
instance_00086,component_0001,15,8,13,8,13,15,False
instance_00087,component_0001,14,7,4,8,14,14,False
instance_00088,component_0001,8,7,4,6,8,8,False
instance_00089,component_0001,7,4,6,6,7,6,False
instance_00090,component_0001,11,11,15,4,9,11,True
instance_00091,component_0001,30,18,23,10,28,29,True
instance_00092,component_0001,66,36,77,17,52,63,True
