population,seed,orders,weight_mean_kg,weight_p50_kg,weight_p90_kg,weight_p99_kg,volume_mean_cm3,volume_p50_cm3,volume_p90_cm3,volume_p99_cm3,pieces_mean,pieces_p90,weight_volume_corr
source_pool,,3688,1.521058568329718,1.0,2.87,6.271300000000001,12769.917993492409,5256.6,32400.0,100183.21910000007,1.0002711496746204,1.0,0.7657842010960937
generated_instance,1103.0,1260096,1.5231207209609428,1.0,2.87,6.28,12785.564163182806,5256.6,32400.0,100729.64,1.0002706143024023,1.0,0.760089199304444
generated_instance,2207.0,1260096,1.5214200902153485,1.0,2.87,6.28,12759.319535694105,5256.6,32400.0,100729.64,1.0002761694347098,1.0,0.7634466862715042
generated_instance,3301.0,1260096,1.5215670115610238,1.0,2.87,6.28,12768.913323278543,5256.6,32400.0,100729.64,1.0002809309766876,1.0,0.7621039094284551
generated_instance,4409.0,1260096,1.5207071302503936,1.0,2.87,6.28,12780.911022231641,5256.6,32400.0,100729.64,1.0002729950733913,1.0,0.768350131057945
generated_instance,5501.0,1260096,1.5218557840037583,1.0,2.87,6.27,12779.065862783471,5256.6,32400.0,100729.64,1.000258710447458,1.0,0.7601834710529414
generated_instance,6607.0,1260096,1.5217988764348114,1.0,2.87,6.27,12778.658184082798,5256.6,32400.0,100729.64,1.000265059170095,1.0,0.7630093854586548
generated_instance,7703.0,1260096,1.521356647430037,1.0,2.87,6.28,12771.60187228592,5256.6,32400.0,100729.64,1.0002626783991062,1.0,0.769275685554971
generated_instance,8807.0,1260096,1.5200037140027427,1.0,2.87,6.28,12758.820470781591,5256.6,32400.0,100729.64,1.0002356963278989,1.0,0.7718244525596131
generated_instance,9901.0,1260096,1.5208990957831785,1.0,2.87,6.28,12757.288836334692,5256.6,32400.0,100101.57,1.0002880732896542,1.0,0.7639431996953522
generated_instance,10103.0,1260096,1.521124323067449,1.0,2.87,6.28,12773.757445400985,5256.6,32400.0,100729.64,1.0002356963278989,1.0,0.7703767000451072
