seed,routes,route_weight_p50_kg,route_weight_p90_kg,route_weight_p99_kg,route_weight_max_kg,route_volume_p50_m3,route_volume_p90_m3,route_volume_p99_m3,route_volume_max_m3,routes_one_order_over_half_weight,routes_one_order_over_half_volume
1103,54945,30.209,61.29,88.35799999999988,189.04,0.25502888,0.529670468,0.7911621947999999,1.25482376,284,1912
2207,54945,30.19,61.12839999999999,88.81007999999996,164.57,0.2535445,0.5274390280000001,0.8001790379999998,1.32663097,259,1772
3301,54945,30.24,61.190000000000005,88.89559999999997,186.595,0.255091,0.5287289899999998,0.7907580935999999,1.33856252,273,1905
4409,54945,30.16,61.43,88.58559999999997,156.10999999999999,0.25520831,0.5295026380000001,0.7879304699999997,1.6591498999999998,277,1783
5501,54945,30.063,61.32299999999999,88.86939999999974,161.95,0.25438223,0.530710922,0.7946975519999997,1.28892576,248,1878
6607,54945,30.2,61.35,88.87343999999995,176.48000000000002,0.25456591,0.529982426,0.7976345439999999,1.31505874,267,1923
7703,54945,30.19,61.26,88.92559999999997,169.746,0.25443995999999997,0.529114636,0.793340136,1.37944071,257,1884
8807,54945,30.23,61.20799999999999,88.3223999999999,157.779,0.25543458,0.528629738,0.7893926511999997,1.29531876,244,1790
9901,54945,30.2,61.19,88.77279999999999,153.14,0.25452938,0.5285099419999999,0.79373177,1.32903947,268,1806
10103,54945,30.18,61.403999999999996,87.93039999999979,171.89000000000001,0.2551638,0.5313938079999999,0.7905800819999999,1.3505201400000002,255,1864
